"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P1607S1";"P1607S2";"P1607S3";"P1607S6";"P1607S4";"P1607S5";"P1283S1";"P1283S2";"P1283S3";"P1283S4";"P1283S5";"P1283S6";"P597";"P1197S1";"P1197S2";"P1197S3";"P1197S4";"P1197S5";"P1197S7";"P1197S6";"P1197S8";"P1196S1";"P1196S2";"P1196S3";"P1196S4";"P1196S5";"P1196S6";"P1196S8";"P1196S7";"P1196S9";"P598";"P599S3";"P599S4";"P599S5";"P1194S1";"P1194S2";"P1194S5";"P1194S3";"P1194S4";"P1194S6";"P1194S7";"P1193";"P1192";"P1955";"P529";"P1191";"P1187";"P600";"P1107";"P1608";"P1609";"P1106"
505414;237;2;1;2;268.179618281176;;;;;;2;1;;;;;;8;;1;;;;;;;;;;;;;;;3;;2;1;1;1;1;;;;;;9;4;"2";2;;2;;;;;6
505425;237;2;1;2;250.981397369468;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;;1;;;;;;8;4;"1";2;;2;;;;;8
505427;237;1;1;1;341.913004294447;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;9;4;"1";2;;2;;;;;6
505509;237;3;1;3;64.6365029507952;;;;;1;;;;;;1;;8;;;;;;;1;;;;;;;;;;3;;2;2;2;1;;;;;;;2;6;"2";2;;2;;;;;4
505528;237;2;1;2;67.9482578260241;;;;;;2;1;;;;;;8;;;;;;;1;;;;;;;;;;3;;2;2;2;;;;;;;9;;6;"1";2;;2;;;;;6
505535;237;1;1;1;61.2659809471078;;;;;;2;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;3;4;"1";2;;2;;;;;8
505570;237;1;1;1;69.8965146482215;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;9;4;"1";2;;2;;;;;6
505577;237;2;1;2;73.8411821763926;;;;1;;;1;;;;;;6;;;;;;;1;;;;;;;;;2;;;2;2;2;;1;;;;;;2;4;"1";2;;2;;;;;6
505581;237;1;1;1;79.3499995136214;;;;1;;;1;;;;;;6;;;;;;;1;;;;;;;;;2;;;2;2;2;;1;;;;;;4;2;"1";2;;2;;;;;6
505581;237;2;1;2;79.3499995136214;;;;1;;;1;;;;;;6;;;;;;;1;;;;;;;;;2;;;2;2;2;;1;;;;;;9;4;"1";2;;2;;;;;6
505642;237;2;1;2;72.9172939545014;;;;;;2;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;;1;;;;;;10;4;"1";2;;2;;;;;6
505735;237;1;1;1;338.264127337652;1;;;1;;;;1;;;;;2;;;;;;;;2;;;;;;;;2;;;2;2;2;1;1;;;;;;6;4;"2";2;;2;;;;;6
505736;237;1;1;1;310.499797639047;;1;;;;;;;;1;;;3;;;;1;1;;;;;;;;;;;;3;;2;2;2;1;;;;;;;10;6;"2";2;;2;;;;;4
505753;237;1;1;1;286.311391109657;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;;1;;;;;;9;4;"1";2;;2;;;;;3
505782;237;1;1;1;286.311391109657;;;;1;;;1;;;;;;3;;;;;;;;2;;;;;;;;2;;;2;2;2;;;;;;;9;;2;"1";2;;2;;;;;6
505783;237;1;1;1;261.793743975534;1;;;;;;;;;1;;;3;1;1;1;1;1;1;;;1;;;;;;;;;1;2;1;2;1;;;;;;;5;3;"1";1;5;2;;;;;2
505783;237;2;1;2;261.793743975534;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;2;;;2;2;2;;;;;;;9;;5;"1";2;;2;;;;;6
505783;237;4;1;4;261.793743975534;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;;1;;;;;;2;4;"1";2;;2;;;;;6
505844;237;1;1;1;751.852457220277;;;;1;;;1;;;;;;6;1;;;;;;;;;;;;;;;;3;;2;2;2;1;;;;;;;8;1;"2";2;;2;;;;;1
505845;237;1;1;1;681.794948975961;;1;;;;;1;;;;;;2;1;;;;;;;;1;;;;;1;;;;1;1;1;2;1;;;;;;;9;1;"2";2;;2;;;;;3
505860;237;1;1;1;349.235407662172;;;;1;;;1;;;;;;2;1;;;;;;;;1;;;;;;;;;1;2;2;2;1;;;;;;;6;2;"1";2;;2;;;;;3
505954;237;1;1;1;58.669550968778;;;;;;2;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;1;1;;;;;;4;4;"1";1;1;1;2;2;2;1;
505954;237;2;1;2;58.669550968778;;;;;;2;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;;1;;;;;;9;4;"1";2;;2;;;;;1
505970;237;1;1;1;54.8083154216292;;;;1;;;1;;;;;;8;1;;;;;;;;;;;;;;;2;;;2;2;2;1;;;;;;;6;4;"1";2;;2;;;;;8
506000;237;3;1;3;58.3724976629437;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;;1;;;;;;1;4;"1";2;;2;;;;;6
506639;237;3;1;3;416.380588774114;;;1;;;;1;1;;;;;2;;;;;;1;;;;;;;;;1;;;9;2;2;2;1;;1;;;;;5;2;"2";2;;1;2;2;1;;
506679;237;2;2;1;952.791609174837;;;;;;2;1;;;;1;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;1;;;;;;;4;4;"1";2;;2;;;;;6
506712;237;1;1;1;75.4771799741095;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;1;1;;;;;;7;1;"1";2;;2;;;;;4
506726;237;1;1;1;76.5472874310488;1;;;;;;1;;;;;;6;;1;;;;;;;;;;;;;;;3;;2;2;2;1;;;;;;;7;4;"2";2;;1;1;2;1;;
506729;237;3;1;3;70.31527215181;;;;1;;;;;;;1;;6;;;;;;;;2;;;;;;;;2;;;2;2;2;;1;;;;;;6;4;"2";2;;2;;;;;4
506732;237;1;1;1;63.7656549553785;;;;1;;;1;;;;;;8;1;;;;;;;;1;;;;;;;;;9;1;1;2;;1;;;;;;3;4;"1";2;;2;;;;;9
506735;237;1;1;1;72.7811237319609;;1;;;;;;;;1;;;3;1;;;;;;;;;;;;;;;;3;;2;2;2;;;;1;;;;;2;"2";1;2;2;;;;;2
506741;237;1;1;1;70.5460261004796;1;;;;;;1;;;;;;8;;1;;;;;;;;;;;;;;2;;;2;2;2;1;;;;;;;4;2;"2";2;;2;;;;;8
506746;237;1;1;1;70.1524683715037;1;;;;;;1;;;;;;8;1;;;;;;;;1;;;;;;;;;9;2;2;2;;1;;;;;;7;4;"1";1;7;1;2;2;1;;
506759;237;3;1;3;66.2272290704835;;;;1;;;1;;;;;;3;;;;;;;;2;;;;;;;;2;;;2;2;2;;1;;;;;;3;4;"1";2;;2;;;;;6
506759;237;4;1;4;66.2272290704835;;;;1;;;1;;;;;;2;1;;;;;;;;;;;;;;;;3;;2;2;2;;1;;;;;;9;4;"1";2;;2;;;;;7
506768;237;1;1;1;67.3022578559962;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;;1;;;;;;6;1;"1";2;;2;;;;;3
506784;237;1;1;1;62.4834774720727;;;;;;2;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;;;;;;;9;;4;"2";2;;2;;;;;1
506793;237;1;1;1;66.1032051639122;1;;;;;;1;;;;;;3;;;;;;;;2;;;;;;;;2;;;2;2;2;1;;;;;;;6;4;"1";2;;2;;;;;6
506839;237;2;1;2;67.8930433701112;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;9;2;"1";2;;2;;;;;3
506862;237;2;1;2;74.2897776988904;1;;;;;;1;;;;;;2;;;;;;;;2;;;;;;;;2;;;2;2;2;1;;;;;;;9;4;"1";2;;2;;;;;6
506865;237;2;1;2;64.8425990101254;;;;1;;;1;;;;;;8;;;;;;;1;;;;;;;;;2;;;2;2;2;1;;;;;;;4;4;"1";2;;2;;;;;1
506865;237;4;1;4;64.8425990101254;;;;1;;;1;;;;;;3;;;;;;;;2;;;;;;;;2;;;2;2;2;;1;;;;;;1;4;"1";2;;2;;;;;10
506875;237;2;1;2;59.3520827172958;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;5;1;"1";2;;2;;;;;3
506899;237;1;1;1;70.5460261004796;;;;1;;;1;;;;;;2;1;;;;;;;;;;;;;1;;;;1;1;1;2;1;;;;;;;6;5;"2";2;;2;;;;;6
506900;237;1;1;1;68.7678383111455;;;;;;2;1;;;;;;6;1;1;;;;;;;1;;;;;;;;;1;2;1;2;1;;;;;;;8;1;"2";2;;1;3;3;1;;
506930;237;1;1;1;543.598394917788;;;;;;2;1;;;;;;8;1;;;;;;;;;;;;;;;;3;;2;2;2;;;;;;;9;;4;"1";2;;2;;;;;6
506935;237;1;1;1;626.654786462936;;;;;;2;1;;;;;;8;1;;;;;;;;;;;;;;;;3;;2;2;2;1;;;;;;;9;4;"1";2;;2;;;;;6
506935;237;2;1;2;626.654786462936;;;;;;2;1;;;;;;8;1;;;;;;;;;;;;;;;;3;;2;2;2;1;;;;;;;4;4;"1";2;;2;;;;;6
506963;237;1;1;1;92.4832454392113;;;;1;;;;;;1;;;1;1;;;;;;;;;;1;;;;;;;1;2;2;2;1;;;;;;;3;1;"2";2;;2;;;;;1
507036;237;2;1;2;44.0396971328107;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;;3;;2;1;2;1;;;;;;;9;5;"1";2;;2;;;;;3
507047;237;1;1;1;65.6667293130866;;;;1;;;1;;;;;;6;;;;;;;1;;;;;;;;;2;;;2;2;2;;1;;;;;;9;5;"1";2;;2;;;;;6
507089;237;2;1;2;106.82901045266;;;;1;;;;;;;1;;6;;;;;;;;2;;;;;;;;;3;;2;2;2;;;;;;;9;;5;"1";2;;2;;;;;6
507176;237;1;1;1;167.733766490299;;;;1;;;1;;;;;;8;;1;;;;;;;;;;;;;;2;;;2;2;2;1;;;;;;;8;4;"2";2;;2;;;;;2
507190;237;1;1;1;250.1697097934;;;;1;;;1;;;;;;8;1;;;;;;;;;;;;;;;;3;;2;2;2;;;;;;;9;;4;"2";2;;2;;;;;1
507191;237;1;1;1;264.474920407437;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;;1;;;;;;9;4;"1";2;;2;;;;;1
507205;237;2;1;2;204.60749969495;;;;1;;;1;;;;;;3;1;;;;;;;;;;;;;;;;3;;2;2;2;1;;;;;;;4;1;"1";2;;2;;;;;6
507289;237;1;1;1;73.5703750795898;;;;1;;;1;;;;;;8;;;;;;1;;;1;;;;;;;;;9;2;2;2;1;;;;;;;9;4;"1";2;;2;;;;;6
507326;237;1;1;1;40.6982721628379;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;5;4;"1";2;;2;;;;;6
507326;237;2;1;2;40.6982721628379;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;;3;;1;2;2;1;;;;;;;2;4;"1";1;7;2;;;;;3
507326;237;3;1;3;40.6982721628379;;;;;;2;;;;;1;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;6;4;"2";2;;2;;;;;3
507329;237;1;1;1;77.3005233000479;;;;;;2;1;;;;;;1;;;;;;;;2;;;;;;;;2;;;2;2;2;;;;;;;9;;4;"2";2;;2;;;;;6
507331;237;1;1;1;75.4979241597573;;;;1;;;1;;;;;;2;;;;;;;1;;;;;;;;;2;;;2;2;2;1;;;;;;;9;2;"1";2;;2;;;;;3
507357;237;1;1;1;75.4979241597573;;;;1;;;1;;;;;;2;;;;;;;;2;;;;;;;;2;;;2;2;2;;1;;;;;;9;1;"2";2;;2;;;;;6
507409;237;4;1;4;62.3682851750945;;1;;;;;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;;1;;;;;;9;4;"1";2;;2;;;;;3
507421;237;2;1;2;51.9723348854426;;;;1;;;;;;;1;;6;1;;;;;;;;1;;;;;;;;;9;2;2;2;1;;;;;;;3;4;"2";2;;2;;;;;6
507424;237;1;1;1;62.3622295392209;;;;1;;;1;;;;;;6;1;;;;;;;;1;;;;;;;;;9;2;2;2;1;;;;;;;4;4;"1";2;;2;;;;;1
507426;237;2;1;2;60.0703393744186;;;;1;;;1;;;;;;6;1;;;;;;;;;1;;;;;;;;9;2;2;2;1;;;;;;;3;4;"1";2;;2;;;;;3
507432;237;1;1;1;67.3740400452315;;;;1;;;1;;;;;;6;1;;1;;;;;;;;;;;;;2;;;2;2;2;1;;;;;;;8;2;"2";2;;2;;;;;3
507436;237;1;1;1;63.6263465726446;;;;1;;;;;;;1;;6;1;;;;;;;;1;;;;;;;;;9;2;2;2;1;;;;;;;1;4;"2";2;;2;;;;;1
507443;237;1;1;1;61.1489712133037;;;;1;;;1;;;;;;6;1;;;;;;;;1;;;;;;;;;9;1;2;2;1;;;;;;;2;4;"1";2;;2;;;;;3
507446;237;1;1;1;67.3740400452315;;;;1;;;;;;;1;;6;1;;;;;;;;;1;;;;;;;;9;2;2;2;;;;1;;;;;4;"2";2;;2;;;;;1
507485;237;1;1;1;57.4783358619961;;;;1;;;1;;;;;;6;1;;;;;;;;;;;;;;;2;;;2;2;2;1;;;;;;;8;1;"1";2;;2;;;;;6
507492;237;1;1;1;76.3995764374046;;;;;;2;1;;;;;;6;;;;;;;1;;;;;;;;;2;;;2;2;2;;1;;;;;;4;4;"1";2;;2;;;;;6
507493;237;1;1;1;76.6168609314786;;;;;;2;1;;;;;;8;1;;;;1;;;;1;;;1;;1;;;;9;1;1;2;1;;;;;;;5;3;"2";2;;1;1;4;2;1;
507574;237;1;1;1;53.5505821267521;;;;;;2;1;;;;;;8;;;;;;;1;;;;;;;;;2;;;1;2;2;;1;;;;;;5;4;"1";2;;2;;;;;1
507574;237;2;1;2;53.5505821267521;;1;;;;;1;;;;;;8;;1;;;;;;;;;;;;;;2;;;2;2;2;;1;;;;;;5;4;"2";2;;2;;;;;3
507604;237;1;1;1;122.096385631278;;;;1;;;1;;;;;;6;;;;;;1;1;;;1;;;;;;;;1;1;1;2;;1;;;;;;5;1;"2";1;6;1;1;2;1;;
507612;237;1;1;1;55.0583193206013;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;;3;;2;2;2;;1;;;;;;10;4;"1";2;;2;;;;;1
507648;237;1;1;1;60.9960879877301;1;1;;;;;;;;1;;;3;1;;;1;;;;;1;;;1;1;;1;;;1;2;1;2;1;;;;;;;7;3;"2";2;;1;3;4;1;;
507665;237;2;1;2;52.3212666992465;;;;;;2;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;;1;;;;;;10;4;"1";2;;2;;;;;1
507675;237;1;1;1;580.532092742294;;;;1;;;1;;;;;;6;1;;;;;;;;;;;;;;;2;;;2;2;2;1;;;;;;;4;3;"1";2;;2;;;;;8
507681;237;1;1;1;286.311391109657;;;;1;;;1;;;;;;8;;;;;;;1;;;;;;;;;;3;;2;2;2;;;;;;;9;;6;"1";2;;2;;;;;6
507721;237;1;1;1;352.49730637541;;;;;;2;;1;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;;;;;;;9;;4;"1";2;;2;;;;;6
507752;237;2;1;2;291.373451458762;1;;;;;;1;;;;;;2;;;;;;;;2;;;;;;;;;3;;2;2;2;;;;;;;9;;5;"1";2;;2;;;;;6
507862;237;1;1;1;47.4479721909832;;;;;;2;1;;;;;;8;;;;;;;;2;1;;;;;;;;;1;2;2;2;;1;;;;;;7;1;"1";2;;2;;;;;1
507864;237;1;1;1;38.3807123457484;;;;1;;;1;;;;;;6;1;;;;;;;;1;;;;;;;;;2;1;2;2;;1;;;;;;3;4;"1";1;7;2;;;;;8
507868;237;1;1;1;34.4243452423534;;;;1;;;1;;;;;;2;1;;;;;;;;;;;;;;;2;;;1;2;2;1;;;;;;;4;1;"1";2;;2;;;;;6
507887;237;1;1;1;43.3719201725061;;;;1;;;1;;;;;;2;;1;;;;;;;;;;;;;;2;;;2;2;2;1;;;;;;;3;4;"1";2;;2;;;;;6
507936;237;2;1;2;40.1829401949535;;;;1;;;1;;;;;;3;;;;;;;;2;;;;;;;;;3;;1;2;2;1;;;;;;;6;2;"2";2;;2;;;;;3
508020;237;2;1;2;37.9215503822555;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;1;2;2;1;;;;;;;3;2;"2";2;;2;;;;;3
508105;237;1;1;1;504.12410098922;;;;;;2;1;;;;;;8;1;;;;;;;;1;;;;;;;;;9;2;2;1;1;;;;;;;8;4;"2";2;;2;;;;;6
508316;237;2;1;2;81.9763935608329;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;1;;;;;;;3;5;"1";2;;2;;;;;6
508380;237;1;1;1;1338.30873195939;;;;1;;;1;;;;;;6;;1;;;;;;;;;;;;;;;3;;1;2;2;;1;;;;;;10;3;"2";2;;2;;;;;3
508396;237;1;1;1;362.650545039484;;;;;;2;1;;;;;;6;1;;;;;;;;1;;;;;;;;;2;2;2;2;1;;;;;;;4;4;"1";2;;2;;;;;8
508503;237;1;1;1;459.798588292569;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;;;;;;;9;;1;"1";2;;2;;;;;6
508539;237;1;1;1;989.573015728773;1;;;;;;1;;;;;;6;1;;;;;;;;1;;;;;;;;;9;2;2;2;1;;;;;;;5;4;"1";1;7;2;;;;;1
508578;237;2;1;2;1111.46346951911;;1;;;;;1;;;;;;2;;;1;;;;;;1;;;;;;;;;2;2;2;2;1;;;;;;;8;1;"2";2;;2;;;;;2
508596;237;2;1;2;1979.08694952946;;;;1;;;1;;;;;;6;1;;;;;;;;;;;;;;;2;;;1;2;2;1;;;;;;;3;4;"1";2;;2;;;;;6
508609;237;2;1;2;1819.60241954428;;;;1;;;1;;;;;;8;;;;;;;1;;;;;;;;;2;;;2;2;2;;1;;;;;;10;4;"1";2;;2;;;;;3
508618;237;3;1;3;1312.27759710747;;1;;;;;;;;1;;;2;1;;;;;;;;1;;;;;;;;;1;2;1;2;1;;;1;;;;8;3;"2";1;2;1;2;2;2;4;
508660;237;1;1;1;358.959648406646;;;;;;2;1;;;;;;6;;;;1;1;;;;;;;;;;;2;;;2;2;2;1;;;;;;;7;1;"2";2;;2;;;;;6
508679;237;1;1;1;573.529143555966;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;2;;;2;2;2;1;;;;;;;1;4;"1";2;;2;;;;;6
508711;237;1;1;1;75.3531560675382;;;;;1;;1;;;;;;6;;;;;;;1;;;;;;;;;2;;;1;2;2;;1;;;;;;2;4;"1";2;;2;;;;;3
508719;237;1;1;1;63.0465680696464;1;;;;;;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;1;;;;;;;4;4;"1";2;;2;;;;;6
508731;237;1;1;1;67.0598534904618;1;;;;;;1;;;;;;3;1;;;;;;;;;;;;;;;;3;;1;1;2;1;;;;;;;8;1;"2";2;;1;2;5;1;;
508737;237;2;1;2;61.2960751968535;1;;;;;;1;;;;;;6;;;;;;;;2;;;;;;;;2;;;2;2;2;1;;;;;;;4;4;"1";2;;2;;;;;6
508753;237;1;1;1;53.0793722950879;;;;;;2;1;;;;;;8;1;1;;;;;;;;;;;;;;2;;;1;1;2;1;;;;;;;9;4;"2";2;;2;;;;;6
508761;237;1;1;1;50.028927935102;1;;;;;;1;;;;;;3;;;;;;;;2;;;;;;;;2;;;2;2;2;1;;;;;;;9;4;"1";2;;2;;;;;6
508794;237;3;1;3;69.1613960401214;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;2;;;2;2;2;;1;;;;;;1;4;"1";2;;2;;;;;6
508813;237;8;2;2;1185.74680411624;;;;;;2;1;;;;;;8;;;;;;1;;;;;;;;;;2;;;2;2;2;1;;;;;;;4;4;"1";2;;2;;;;;6
508839;237;1;1;1;658.619738948366;;;1;;;;;;;1;;;7;1;;;;;;;;;;;;;;;;3;;2;2;2;1;;;;;;;10;4;"2";2;;2;;;;;4
508850;237;2;1;2;988.710407230394;;;;;;2;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;4;4;"2";2;;2;;;;;6
508895;237;1;1;1;83.2789215771924;;;;1;;;1;;;;;;6;;;;;;;;2;1;;;;;;;;;9;2;2;2;;;;;;;9;;4;"1";2;;2;;;;;1
508934;237;2;1;2;970.517710896368;;;;1;;;1;;;;;;8;;;1;;;;;;;;;;;;;2;;;2;2;2;;1;;;;;;3;1;"1";2;;2;;;;;6
508964;237;1;1;1;72.5762520213666;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;;3;;1;2;2;1;;;;;;;9;2;"1";2;;2;;;;;3
508975;237;1;1;1;82.1008054743409;;;;1;;;1;;;;;;8;;;;;;;1;;;;;;;;;2;;;2;2;2;;1;;;;;;5;4;"1";2;;2;;;;;8
508982;237;3;1;3;112.636619370249;1;;;;;;;;;1;;;2;;;;;;;;2;;;;;;;;;3;;1;1;2;1;;;;;;;9;2;"2";2;;1;1;3;1;;
509005;237;2;1;2;57.8601920722923;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;2;;;2;2;2;;1;;;;;;2;4;"1";2;;2;;;;;4
509030;237;2;1;2;119.539712168876;;;;1;;;1;;;;;;8;;;;;;1;;;;;;;;;1;;;1;2;2;1;;1;;;;;;5;4;"2";1;8;2;;;;;8
509040;237;1;1;1;81.0965240441265;1;;;;;;;;1;;;;5;1;;;;;;;;1;;;;;;;;;1;1;1;2;1;;;;;;;6;3;"2";2;;1;1;3;2;1;
509104;237;1;1;1;56.1897296947702;;;;;;2;;;;1;;;2;1;;;;;;;;;;1;;;1;;;;2;2;1;2;1;;;;;;;4;4;"2";1;2;2;;;;;2
509117;237;1;1;1;72.5762520213666;;1;;;;;1;;;;;;3;1;;;;;;;;1;;;;;;;;;1;1;1;2;1;;;;;;;7;4;"2";2;;2;;;;;4
509126;237;1;1;1;78.7441980567817;;;;1;;;1;;;;;;6;1;;;;;;;;1;;;;;;;;;1;1;2;2;1;;;;;;;8;2;"2";2;;1;1;4;1;;
509180;237;1;1;1;63.0516985683923;;;;;;2;1;;;;;;6;;;;;;;;2;;;;;;;;;3;;2;2;2;;;;;;;9;;4;"1";2;;2;;;;;6
509218;237;1;1;1;84.1175225531704;;;;;;2;1;;;;;;6;;;;;;;;2;;;;;;;;;3;;2;2;2;;;;;;;9;;4;"1";2;;2;;;;;6
509267;237;2;1;2;292.651238504052;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;4;5;"1";2;;1;1;4;1;;
509316;237;1;1;1;268.179618281176;1;;;;;;;1;;;;;3;1;;;1;;;;;;1;;;;1;;;;1;2;1;2;;;;1;;1;;;6;"1";1;7;2;;;;;2
509351;237;1;1;1;1185.58209464194;;;;1;;;1;;;;;;6;;;;;;;1;;;;;;;;;2;;;2;2;2;;1;;;;;;7;4;"1";2;;1;1;3;1;;
509414;237;1;1;1;39.2778408165973;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;9;5;"2";2;;2;;;;;6
509436;237;1;1;1;31.430831006319;;;;;;2;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;1;;;;;;;9;2;"1";2;;2;;;;;6
509445;237;2;1;2;34.9825883995042;;;;;;2;1;;;;;;6;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;5;4;"2";2;;2;;;;;6
509471;237;2;1;2;44.1549527474913;1;;;;;;1;;;;;;6;1;;;;;;;;1;;;;;;;;;1;2;2;2;1;;;;;;;10;4;"1";2;;1;2;4;1;;
509484;237;2;1;2;54.8517174356812;;;;1;;;1;;;;;;6;1;;;;;;;;1;;;;;;;;;9;2;2;2;1;;;;;;;2;4;"1";2;;2;;;;;6
509523;237;2;1;2;55.609074260099;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;4;4;"1";2;;2;;;;;1
509532;237;1;1;1;61.1489712133037;;;;1;;;1;;;;;;6;;;;;;;1;;;;;;;;;;3;;2;2;2;1;;;;;;;7;5;"1";2;;2;;;;;1
509546;237;1;1;1;65.0499258150985;1;;;;;;1;;;;;;6;;;;;;;;2;;;;;;;1;;;1;2;2;2;1;;;;;;;5;1;"2";2;;1;1;4;1;;
509590;237;1;1;1;49.4684412874788;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;2;;;2;2;2;1;;;;;;;9;2;"1";2;;2;;;;;6
509602;237;1;1;1;73.014460981422;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;;3;;1;2;2;1;;;;;;;3;5;"1";2;;2;;;;;9
509625;237;1;1;1;71.5667358189992;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;5;4;"1";2;;2;;;;;6
509629;237;1;1;1;63.0095404302173;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;;1;;;;;;5;5;"1";2;;2;;;;;6
509662;237;1;1;1;67.5636446592849;;;;;;2;1;;;;;;6;;;;;;;;2;;;;;;;;2;;;1;2;2;;1;;;;;;3;3;"1";2;;2;;;;;3
509683;237;2;1;2;62.3107335919657;;;;1;;;1;;;;1;;8;;;;;;;1;;;;;;;;;2;;;2;2;2;1;1;;;;;;3;1;"2";1;7;2;;;;;1
509775;237;1;1;1;59.6709492131925;;;;;;2;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;;1;;;;;;9;4;"1";2;;2;;;;;7
509777;237;1;1;1;49.4647037703225;;;;;;2;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;;1;;;;;;9;4;"1";2;;2;;;;;8
509821;237;1;1;1;62.0339859547763;;;;;;2;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;;1;;;;;;10;4;"1";2;;2;;;;;6
509825;237;1;1;1;71.6934221324365;1;;;;;;1;;;;;;8;1;;;;;;;;1;1;;;;1;;;;9;1;2;2;1;;;;;;;8;4;"2";2;;1;3;3;1;;
509839;237;1;1;1;709.839246202104;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;1;;;;;;;8;4;"1";2;;2;;;;;6
509942;237;1;1;1;278.994221056022;;;;;;2;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;9;4;"1";2;;2;;;;;6
509942;237;2;1;2;278.994221056022;;;;;;2;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;1;;;;;;;9;4;"1";2;;2;;;;;6
510011;237;1;1;1;286.958342167579;;;;1;;;1;;;;;;6;;;;;;;1;;;;;;;;;2;;;2;2;2;1;;;;;;;9;5;"1";2;;2;;;;;6
510070;237;2;1;2;26.9303469134341;;;;1;;;1;;;;;;8;;;;;;;1;;;;;;;;;;3;;2;2;2;;;;;;;9;;5;"1";2;;1;3;4;1;;
510205;237;1;1;1;1133.86822910481;;1;;;;;1;;1;;;;5;1;1;1;;;;;;1;1;1;;;1;;;;1;2;1;2;1;;;1;;;;10;2;"2";2;;1;1;3;2;4;
510229;237;1;1;1;142.44892144932;;;;;;2;;1;;;;;8;1;;;;;;;;;;;;;;;2;;;2;2;2;1;;;;;;;9;4;"2";2;;2;;;;;6
510310;237;1;1;1;111.259160071001;;;;1;;;1;;;;;;6;1;;;;;;;;;;;;;;;;3;;1;2;2;1;;;;;;;9;4;"2";2;;2;;;;;6
