"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P1607S1";"P1607S2";"P1607S3";"P1607S6";"P1607S4";"P1607S5";"P1283S1";"P1283S2";"P1283S3";"P1283S4";"P1283S5";"P1283S6";"P597";"P1197S1";"P1197S2";"P1197S3";"P1197S4";"P1197S5";"P1197S7";"P1197S6";"P1197S8";"P1196S1";"P1196S2";"P1196S3";"P1196S4";"P1196S5";"P1196S6";"P1196S8";"P1196S7";"P1196S9";"P598";"P599S3";"P599S4";"P599S5";"P1194S1";"P1194S2";"P1194S5";"P1194S3";"P1194S4";"P1194S6";"P1194S7";"P1193";"P1192";"P1955";"P529";"P1191";"P1187";"P600";"P1107";"P1608";"P1609";"P1106"
502548;237;3;1;3;222.480769778604;;;;;;2;1;;;;;;3;1;;;;;;;;1;;;;;;;;;1;2;2;2;1;;;;;;;7;1;"2";1;7;2;;;;;9
502596;237;1;1;1;287.05736805217;;;;1;;;1;;;;;;3;1;;;;;;;;1;;;;;;;;;1;1;2;2;1;;;;;;;4;1;"1";2;;2;;;;;1
502597;237;2;1;2;509.771274611671;;;;1;;;;1;;;;;3;;;;;;;1;;;1;;;;;;;;9;2;2;1;;1;;;;;;6;1;"2";2;;1;1;4;2;4;
502601;237;2;1;2;547.367699091644;;;;1;;;1;;;;;;6;;;;;;;1;;;;;;;;;2;;;2;2;2;;1;;;;;;4;4;"1";2;;2;;;;;6
502613;237;1;1;1;44.8776087225964;;;;1;;;1;;;;;;5;1;;;;;;;;1;;;;;;;;;1;2;1;2;;;;;;;9;;4;"2";2;;1;2;3;2;1;
502622;237;1;1;1;41.5025163792085;;;;;;2;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;;;;;;;9;;5;"2";2;;2;;;;;8
502644;237;2;1;2;39.5162734134292;;;;1;;;1;;;;;;1;;;;;;;;2;;1;;;;;;;;9;2;2;2;1;;;;;;;2;5;"1";2;;2;;;;;1
502679;237;1;1;1;39.5162734134292;1;1;;;;;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;1;;;;;;;5;1;"1";2;;2;;;;;6
502690;237;3;1;3;44.9799776260259;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;1;2;2;1;;;;;;;4;4;"1";2;;1;1;4;1;;
502711;237;4;1;4;41.9534304959845;;;;1;;;1;;;;;;3;;;;;;;;2;;1;;;;;;;;9;2;2;2;1;;;;;;;1;1;"1";2;;2;;;;;1
502711;237;6;1;6;41.9534304959845;;;;1;;;1;;;;;;1;;;;;;;1;;;;;;;;;2;;;2;2;2;1;;;;;;;4;4;"1";2;;1;1;2;1;;
