"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P553";"P553S1";"P1379";"P1390S1";"P1390S2";"P1390S3";"P1390S5";"P1390S4";"P1389";"P1386";"P1385";"P1380S1";"P1380S2";"P1380S3";"P1380S5";"P1380S6";"P1367S1";"P1367S4";"P1367S5";"P1367S2";"P1367S3";"P554";"P555S1";"P555S2";"P555S7";"P555S3";"P555S4";"P555S5";"P555S6";"P555S8";"P555S9";"P555S10";"P555S11";"P1592S1";"P1592S2";"P1592S3";"P1592S4";"P1228";"P557";"P558";"P1119";"P1593";"P1591";"P1214";"P1368"
502673;237;1;1;1;41.0451521501478;2;1;1;1;2;1;2;2;6;4;2;;;;;;2;2;2;2;2;1;1;2;2;1;2;2;2;2;2;2;2;2;1;2;2;1;1;1;1;2;1;;2
502699;237;1;1;1;37.7489620798786;5;1;1;1;2;2;2;2;3;4;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
502731;237;1;1;1;1138.2567847072;2;1;2;2;1;1;2;2;4;4;2;;;;;;2;2;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
502735;237;1;1;1;770.414471557952;2;1;6;2;2;2;1;2;3;4;1;1;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;1;2;2;2;;;;;;2;2
502771;237;1;1;1;79.0051457228083;10;1;6;2;2;2;1;2;3;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
502786;237;1;1;1;74.3926178621974;7;1;1;2;2;2;1;2;2;3;2;;;;;;2;2;2;2;1;1;1;2;1;2;1;1;2;2;1;2;2;2;2;2;2;2;;;;;;3;2
503032;237;1;1;1;732.327759236148;3;1;6;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;1;2;2;1;2;2;2;2;2;2;2;2;;2;2;2;;;;;;3;2
503065;237;1;1;1;44.9554898624619;9;1;6;2;2;2;2;1;1;4;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
503071;237;1;1;1;45.6044299798657;8;1;3;1;2;2;2;2;3;3;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
503138;237;1;1;1;851.798637277717;9;1;3;1;2;2;2;2;2;4;2;;;;;;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;1;5;2;1;;2
