"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P553";"P553S1";"P1379";"P1390S1";"P1390S2";"P1390S3";"P1390S5";"P1390S4";"P1389";"P1386";"P1385";"P1380S1";"P1380S2";"P1380S3";"P1380S5";"P1380S6";"P1367S1";"P1367S4";"P1367S5";"P1367S2";"P1367S3";"P554";"P555S1";"P555S2";"P555S7";"P555S3";"P555S4";"P555S5";"P555S6";"P555S8";"P555S9";"P555S10";"P555S11";"P1592S1";"P1592S2";"P1592S3";"P1592S4";"P1228";"P557";"P558";"P1119";"P1593";"P1591";"P1214";"P1368"
506952;237;1;1;1;93.4248880531333;7;1;1;1;2;2;1;2;4;1;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;6;2
507101;237;1;1;1;83.5410048188114;10;2;6;2;1;2;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;8;2
507150;237;1;1;1;91.9970548911127;10;1;6;2;1;2;2;2;1;4;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;6;2
507187;237;4;3;1;154.24024345233;6;2;2;2;2;1;2;2;1;3;1;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;;;;;;7;2
507188;237;1;1;1;268.854667453123;3;1;5;1;2;2;2;2;3;2;1;2;2;2;2;2;2;2;2;1;1;2;;;;;;;;;;;;2;2;2;2;1;5;1;6;;;;2
507258;237;1;1;1;40.1438525800024;3;1;6;1;1;1;2;2;6;2;2;;;;;;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;1;1;1;5;2;3;;2
507299;237;1;1;1;42.9891285334956;4;1;1;1;1;1;1;2;5;4;2;;;;;;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;3;1;4;2;4;;2
507426;237;1;1;1;60.0703393744186;2;1;1;1;1;1;2;2;6;1;2;;;;;;2;2;2;2;2;1;1;2;2;1;1;2;2;2;2;2;2;1;2;2;2;1;2;2;2;1;;;2
507473;237;1;1;1;73.014460981422;12;1;3;2;2;2;1;2;1;3;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;1;2;2;4;2;3;;2
507487;237;1;1;1;60.5104651229851;6;1;1;1;2;1;1;2;5;3;2;;;;;;2;2;2;2;2;1;1;2;2;1;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;1;;;2
507490;237;1;1;1;70.8712767412862;8;1;1;1;2;1;2;2;4;3;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;1;2;2;1;1;1;2;1;;;2
507498;237;1;1;1;68.4101534642422;10;2;1;1;1;1;2;2;5;3;2;;;;;;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;;;;;;3;2
507555;237;1;1;1;713.078304120995;10;1;3;1;2;2;2;2;1;4;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;1;2;2;2;;;;;;9;2
507570;237;1;1;1;60.5214412794772;3;1;1;2;1;2;2;2;3;3;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;4;2
507587;237;1;1;1;61.5228395238916;1;1;1;2;2;2;1;2;5;4;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;1;1;2;2;1;2;2;2;1;;;2
507648;237;1;1;1;60.9960879877301;3;1;1;1;2;2;2;2;6;1;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;;;;;;3;2
507689;237;1;1;1;278.994221056022;1;1;1;1;1;1;2;2;6;4;2;;;;;;2;2;2;2;2;1;1;2;2;1;2;2;2;2;2;2;2;1;2;2;2;1;1;1;1;2;1;;2
507721;237;1;1;1;352.49730637541;1;1;6;2;1;2;2;2;1;4;2;;;;;;1;2;2;2;2;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
507781;237;1;1;1;294.379320351886;6;1;2;2;2;1;2;2;6;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;8;2
507790;237;1;1;1;282.976281611801;1;1;1;2;2;1;2;2;2;1;2;;;;;;2;1;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
507853;237;1;1;1;32.1944618156217;12;1;3;1;2;1;2;2;3;3;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;1;1;1;5;1;;;2
507865;237;1;1;1;38.5867099117052;10;1;1;2;2;2;1;2;6;1;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;2;1
507869;237;1;1;1;43.3116288936379;2;1;3;1;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
507887;237;1;1;1;43.3719201725061;9;1;1;1;2;1;2;2;2;4;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;1;2;2;1;2;2;5;1;;;1
507919;237;1;1;1;34.8997701745084;10;1;5;1;2;2;2;2;1;2;1;2;2;2;2;1;2;2;2;2;1;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
507958;237;1;1;1;45.5953290850389;8;1;1;1;2;1;2;2;3;4;1;2;1;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;7;2
507982;237;1;1;1;40.5867736769436;3;1;1;1;1;1;2;2;5;4;1;1;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;1;2;2;1;1;1;3;2;3;;2
508014;237;1;1;1;43.9995259059486;12;1;3;1;2;2;2;2;2;3;1;2;2;2;1;2;2;2;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;;;;;;3;2
508050;237;1;1;1;84.8048845881932;4;1;2;1;2;2;2;2;2;4;1;2;2;2;1;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
508119;237;1;1;1;102.587542727583;9;1;3;1;1;1;2;2;4;4;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;;2;2;2;;;;;;3;2
508316;237;1;1;1;81.9763935608329;2;1;1;2;1;2;2;2;1;4;2;;;;;;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
508395;237;1;1;1;314.8727902793;10;1;3;2;1;2;1;2;4;4;2;;;;;;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;1;1;4;2;1;;2
508410;237;1;1;1;408.960614369253;3;2;1;1;1;1;2;2;4;1;1;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;;2
508429;237;1;1;1;383.613830529049;12;1;4;1;2;1;2;2;2;4;1;1;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;6;2
508431;237;1;1;1;504.88374941206;12;1;3;2;1;2;2;2;2;4;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;5;2
508511;237;1;1;1;929.139686809145;4;2;9;2;1;2;2;2;5;2;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;4;2
508523;237;1;1;1;1043.869840676;6;1;1;1;2;2;2;2;5;3;2;;;;;;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
508543;237;1;1;1;1070.265344115;10;1;1;2;2;2;2;1;3;3;1;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;4;2
508549;237;1;1;1;1138.76382517431;8;1;1;1;1;2;2;2;6;4;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;1;1;1;1;1;1;;;2
508553;237;1;1;1;929.139686809145;12;1;1;1;2;2;2;2;6;9;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;1;2;2;2;1;1;1;4;2;1;;2
508618;237;1;1;1;1312.27759710747;11;1;2;2;2;1;2;2;6;3;1;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;1;;2
508641;237;1;1;1;515.798690090831;12;1;6;2;2;1;2;2;3;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;1;1;1;1;;;2
508652;237;1;1;1;490.047255449381;8;1;2;2;2;1;2;2;1;3;1;2;2;2;1;2;2;2;2;2;1;2;;;;;;;;;;;;2;;2;1;1;1;1;1;1;;;1
508851;237;1;1;1;481.564951721477;5;1;6;1;2;1;2;2;4;3;2;;;;;;2;2;2;2;1;1;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;8;2
508889;237;1;1;1;92.0464413358518;9;1;3;2;2;2;1;2;2;2;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
508938;237;1;1;1;1065.644797626;10;1;2;2;2;1;2;2;1;9;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;6;2
509034;237;1;1;1;71.9997342870076;10;1;3;2;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;6;2
509126;237;1;1;1;78.7441980567817;2;1;1;2;2;1;2;2;2;1;2;;;;;;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
509127;237;1;1;1;102.687104632727;8;1;1;1;1;2;2;2;3;3;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
509194;237;1;1;1;108.63918132189;11;1;6;2;1;2;2;2;3;2;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
509196;237;1;1;1;95.9944019934895;9;1;1;2;1;1;2;2;4;2;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
509200;237;1;1;1;98.4388827681744;9;1;1;2;1;2;2;2;2;3;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
509207;237;1;1;1;96.906619582346;11;1;6;2;1;2;2;2;4;1;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;7;2
509222;237;1;1;1;78.8133490738489;8;1;6;1;2;2;2;2;4;1;2;;;;;;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;5;1;;;2
509243;237;1;1;1;349.267549824862;10;1;3;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;1;2
509276;237;1;1;1;270.675976898325;11;1;3;2;2;2;1;2;3;1;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
509311;237;1;1;1;250.981397369468;8;1;1;2;2;2;1;2;2;1;1;2;2;2;2;2;2;2;2;1;2;2;;;;;;;;;;;;2;1;2;2;1;3;1;4;2;3;;2
509316;237;1;1;1;268.179618281176;3;1;6;1;1;2;2;2;4;1;1;2;2;2;2;2;2;1;2;2;2;1;1;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
509320;237;1;1;1;338.820634641507;1;1;3;2;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;1;2;2;2;2;2;2;1;1;2;2;2;;;;;;6;1
509466;237;1;1;1;36.944717863508;7;1;4;1;2;1;2;2;2;2;1;2;1;2;2;2;1;2;2;2;1;2;;;;;;;;;;;;2;2;2;2;2;;;;;;2;2
509574;237;1;1;1;60.3606842799378;10;1;1;1;1;1;2;2;6;4;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;1;2;2;1;2;1;1;1;;;2
509595;237;1;1;1;73.3370449065971;6;1;5;1;2;1;2;2;3;3;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;1;2;2;1;2;2;2;1;;;2
509638;237;1;1;1;65.4788840506923;8;2;6;1;1;1;2;2;5;4;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;;;;;;3;2
509661;237;1;1;1;53.2352428495451;6;1;6;2;1;1;2;2;2;2;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
509819;237;1;1;1;66.377732469308;3;1;1;1;1;2;2;2;4;1;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
509841;237;1;1;1;536.107414243149;11;1;1;2;2;2;2;1;2;1;1;2;2;2;2;2;2;2;2;2;1;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
509869;237;1;1;1;322.879028041788;2;1;3;2;2;1;2;2;4;2;2;;;;;;2;2;2;2;2;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;2;2
510072;237;1;1;1;45.5866552943701;12;1;4;1;2;1;2;2;2;4;1;1;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
510073;237;1;1;1;66.7268063155006;9;1;2;1;2;2;2;2;2;3;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
510074;237;1;1;1;91.1462827449477;4;1;7;1;2;2;2;2;2;4;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
510112;237;1;1;1;92.1170410561189;9;1;3;1;2;2;2;2;2;3;2;;;;;;2;1;2;2;2;2;;;;;;;;;;;;2;1;2;2;1;2;2;5;1;;;2
510116;237;1;1;1;86.7438403450121;10;1;3;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;1;2;2;1;3;1;1;1;;;2
510131;237;1;1;1;37.4532448470317;6;1;6;2;1;2;2;2;1;4;1;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
510205;237;1;1;1;1133.86822910481;8;1;1;1;1;1;1;2;2;1;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;;2;2;2;;;;;;3;2
510468;237;1;1;1;117.968519758858;10;1;3;1;1;1;2;2;4;3;2;;;;;;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;3;1;5;1;;;2
510604;237;1;1;1;894.846159906051;12;1;3;1;1;1;2;2;4;1;1;1;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;4;1;;;2
510629;237;1;1;1;777.798793972469;1;1;1;2;1;2;2;2;3;3;2;;;;;;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;;;;;;3;2
510687;237;1;1;1;959.951909098321;12;1;1;1;2;1;2;2;5;9;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;1;2;2;1;3;1;1;2;2;;2
510711;237;1;1;1;697.975823283243;12;1;1;1;1;2;2;2;5;1;1;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;1;2;2;2;2;2;2;2;1;2;2;1;3;1;2;2;5;;2
510723;237;1;1;1;1176.14078955761;6;1;1;1;1;1;2;2;5;1;2;;;;;;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;10;2
510731;237;1;1;1;945.233320338021;1;2;1;2;1;1;1;2;5;3;2;;;;;;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;;;;;;3;2
510740;237;1;1;1;1001.98460691068;11;1;1;2;1;2;2;2;4;4;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
510805;237;1;1;1;585.962352694281;4;2;1;2;2;2;1;2;3;2;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;;2;1;1;1;1;1;2;2;;2
510855;237;1;1;1;74.1657537923191;10;1;3;2;2;1;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;7;2
510867;237;1;1;1;56.7800503817185;1;1;1;1;2;1;2;2;3;2;2;;;;;;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;2;5;1;;;2
510926;237;1;1;1;69.8742901915736;10;2;1;1;1;1;2;2;5;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;3;1;5;2;1;;2
510937;237;1;1;1;59.3520827172958;1;1;1;1;1;1;2;2;5;4;2;;;;;;2;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;4;2;5;;2
511024;237;1;1;1;64.9196616087182;9;1;6;2;1;2;2;2;1;4;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
511083;237;1;1;1;80.7297571469377;11;1;1;2;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
511097;237;1;1;1;93.5499212188046;10;1;1;2;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
511108;237;1;1;1;65.0324195379218;6;1;3;2;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;1;2
511116;237;1;1;1;81.0965240441265;7;1;6;2;1;2;2;2;2;1;1;2;2;2;2;2;2;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
511123;237;1;1;1;105.282573904331;2;1;6;2;1;2;1;2;2;4;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
511144;237;1;1;1;165.579985485684;10;1;3;2;2;2;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
511340;237;1;1;1;40.5988441601227;9;1;3;1;2;2;2;2;4;3;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
511343;237;1;1;1;43.5319797076689;3;1;3;2;2;1;2;2;4;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;6;2
511347;237;1;1;1;39.5162734134292;6;1;2;1;2;2;2;2;3;9;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
511432;237;1;1;1;61.1489712133037;9;1;5;2;2;1;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;1;2
511471;237;1;1;1;58.9048809721532;6;1;6;1;1;1;1;2;5;4;2;;;;;;2;2;2;2;2;1;1;2;1;2;1;2;2;2;2;2;1;1;1;2;2;1;2;2;4;1;;;2
511504;237;1;1;1;63.0095404302173;2;1;1;2;2;2;1;2;5;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
511577;237;1;1;1;63.6394487324689;1;1;6;2;2;2;1;2;3;1;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
511727;237;1;1;1;63.0135454229064;4;1;3;1;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;1;2;2;1;1;2;2;2;;;;;;8;1
511753;237;1;1;1;54.1731570099457;9;1;1;1;1;2;1;2;5;9;2;;;;;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;1;2;1;;;2
511828;237;1;1;1;289.526161074102;1;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;2;2;1;3;1;3;2;1;;2
512071;237;1;1;1;37.1097808452114;2;1;5;1;2;2;2;2;3;3;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;2;2;2;1;1;1;2;1;;;2
512187;237;1;1;1;85.2348178137653;7;1;1;2;2;2;1;2;4;3;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
512549;237;1;1;1;158.451133769202;6;1;1;1;1;1;2;2;6;1;1;1;1;2;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2;2;2;2;2;1;1;2;2;1;2;2;5;2;1;;2
512649;237;1;1;1;705.502185608497;11;1;1;1;2;2;2;2;2;4;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;6;2
512660;237;1;1;1;1000.60913915389;11;1;1;2;1;1;2;2;2;2;2;;;;;;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;4;2
512738;237;1;1;1;887.042117212494;12;1;6;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;;;;;;1;2
512750;237;2;2;1;1020.38523801795;12;1;7;1;2;1;2;2;6;1;2;;;;;;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;2;1;1;1;1;1;1;1;5;2;2;;2
512783;237;1;1;1;1919.90381819664;1;1;3;2;2;2;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;1;2
512819;237;1;1;1;959.951909098321;7;2;1;2;1;2;2;2;5;3;2;;;;;;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;1;3;1;1;2;1;;2
512867;237;1;1;1;1033.41104233378;7;1;1;2;1;2;2;2;4;3;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;4;2
512883;237;1;1;1;2216.88435138975;12;1;1;2;1;2;2;2;3;4;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;;2;2;2;;;;;;6;2
512894;237;1;1;1;1249.22485131721;6;1;6;1;2;2;2;2;2;9;2;;;;;;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
512917;237;1;1;1;2827.43026363363;11;1;2;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;;2;2;2;;;;;;5;2
512946;237;1;1;1;60.3087310438454;12;1;1;1;2;2;2;2;4;3;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;6;2
512954;237;1;1;1;74.1657537923191;5;1;3;1;2;2;2;2;2;3;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;7;2
512993;237;1;1;1;64.3415891200165;10;1;1;1;1;1;2;1;3;1;1;2;2;2;2;1;2;2;2;2;2;1;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;1;2
513014;237;1;1;1;75.3531560675382;2;1;1;1;2;1;1;2;6;3;2;;;;;;2;2;2;2;1;1;1;2;1;2;1;2;2;2;2;2;2;2;1;2;2;1;4;;1;;;;2
513106;237;1;1;1;1914.32742323208;7;1;1;1;2;1;2;2;5;4;2;;;;;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;;2;2;2;;;;;;3;2
513108;237;1;1;1;1382.50502124308;2;1;3;1;2;1;2;2;5;3;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;;2;2;2;;;;;;6;2
513175;237;1;1;1;122.485118127189;12;1;6;2;2;1;2;2;2;9;2;;;;;;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
513220;237;1;1;1;93.3611197070076;7;1;2;1;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;6;2
513296;237;1;1;1;90.7698315356044;1;1;3;2;2;2;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;4;2
513304;237;1;1;1;85.9854855934963;12;1;3;2;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;6;2
513306;237;1;1;1;61.2811123862922;4;1;6;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
513308;237;1;1;1;47.6694576720104;10;1;6;2;2;2;1;2;3;1;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
513319;237;1;1;1;85.9854855934963;12;2;6;2;1;2;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;5;2
513320;237;1;1;1;120.180451853694;6;1;1;1;1;2;2;2;4;3;2;;;;;;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;;;;;;8;2
513326;237;1;1;1;95.9944019934895;2;1;3;1;2;2;2;2;2;3;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;1;2;2;2;2;;;;;;8;2
513376;237;1;1;1;61.9908178870143;5;1;6;2;1;2;2;2;3;2;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
513377;237;1;1;1;128.636501925995;6;1;3;1;2;2;2;2;4;2;1;1;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;1;2;2;1;3;1;3;1;;;2
513396;237;1;1;1;83.5410048188114;10;1;6;2;1;2;1;2;4;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;1;1;5;2;4;;2
513405;237;1;1;1;140.893735918631;1;1;1;1;1;1;2;2;4;4;2;;;;;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;;;;;;3;2
513406;237;1;1;1;81.4960618988234;2;1;6;2;2;2;1;2;3;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
513433;237;1;1;1;81.7982605276107;12;1;1;2;1;1;2;2;2;2;2;;;;;;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
513439;237;1;1;1;64.4559018035628;6;1;1;2;2;2;1;2;4;1;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
513465;237;1;1;1;95.9944019934895;10;1;6;2;1;1;2;2;3;3;2;;;;;;2;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;;;;;;10;2
513497;237;1;1;1;248.773699446682;3;1;3;1;2;1;2;2;5;1;1;2;2;2;2;1;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;1;1;1;1;2;2;1;;2
