"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P2069";"P2070";"P1962";"P1964S1";"P1964S2";"P1964S3";"P1964S4";"P1964S5";"P1964S6";"P1964S7";"P1964S8";"P1965";"P1966";"P2071";"P1967";"P1319S1";"P1319S2";"P1319S3";"P1319S5";"P1319S6";"P2072S1";"P2072S2";"P2072S3";"P2072S4";"P2073";"P560";"P2074";"P2075";"P1605";"P1606";"P2076";"P1968"
513325;237;1;1;1;81.0965240441265;1;8;1;;;;;;1;;;3;2;1;1;2;2;2;2;2;2;2;2;2;2;;;;;;4;2
513746;237;1;1;1;551.758103450014;1;5;1;;1;;;;;;;3;2;4;2;;;;;;2;2;2;2;2;;;;;;3;2
513797;237;1;1;1;403.825528451591;1;2;2;1;;;;;;;;3;3;4;2;;;;;;2;;2;2;2;;;;;;7;2
513817;237;1;1;1;357.595320898151;1;3;1;;;;;;1;;;3;2;1;2;;;;;;2;;2;2;2;;;;;;6;2
513824;237;1;1;1;459.911954575823;1;5;1;1;;;;;;;;3;3;3;2;;;;;;2;;2;2;2;;;;;;3;2
514128;237;1;1;1;617.310167299617;1;12;1;;;;;;1;;;3;1;1;1;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
514681;237;1;1;1;1471.96608200377;1;12;1;;;;;;1;;;3;2;4;1;2;2;2;2;2;2;;2;2;2;;;;;;6;2
514928;237;1;1;1;1815.37479517425;1;12;1;;;;;;1;;;3;2;3;2;;;;;;2;2;2;2;2;;;;;;8;2
514929;237;1;1;1;1993.99578129152;1;11;2;;;;;;1;;;3;1;2;2;;;;;;2;2;2;2;2;;;;;;6;2
514934;237;1;1;1;2612.52248729398;1;7;1;;;;;;1;;;3;1;2;2;;;;;;2;;2;2;2;;;;;;8;2
514935;237;1;1;1;2193.45512675708;1;12;1;;;;;;1;;;3;2;3;2;;;;;;2;;2;2;1;1;1;4;2;1;;2
516137;237;1;1;1;286.311391109657;1;1;1;;;;;;;;9;3;2;9;2;;;;;;2;2;2;2;2;;;;;;6;2
516886;237;1;1;1;2127.22541102309;1;7;1;;;;;;1;;;3;1;4;1;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
516888;237;1;1;1;2012.74852052889;1;9;1;;;;;;1;;;3;1;3;1;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
516902;237;1;1;1;1542.20525839184;1;11;1;1;;;;;;;;3;4;3;2;;;;;;2;1;2;2;1;1;1;2;1;;;2
516983;237;1;1;1;690.367832090629;2;11;1;;;;1;;;;;2;2;4;2;;;;;;2;;2;2;2;;;;;;3;2
516988;237;1;1;1;791.776778354295;1;6;1;;;;1;;;;;3;2;4;2;;;;;;2;;2;2;2;;;;;;8;2
517012;237;1;1;1;1679.28259755465;1;8;1;;;;1;;;;;3;2;4;2;;;;;;2;;2;2;2;;;;;;1;2
517140;237;1;1;1;771.823889744024;1;8;2;1;;;;;;;;9;3;2;2;;;;;;2;2;2;2;2;;;;;;8;2
517452;237;1;1;1;1336.1186437635;1;12;1;;;;;;1;;;3;2;4;2;;;;;;2;;2;2;2;;;;;;3;2
517931;237;1;1;1;650.43341120525;1;9;1;;;1;;;1;;;3;4;9;2;;;;;;2;2;2;2;2;;;;;;8;2
517939;237;1;1;1;561.773401817535;1;11;1;;;;;;1;;;3;2;1;1;2;2;2;2;2;2;2;2;2;2;;;;;;8;2
518313;237;1;1;1;1617.83536061183;1;9;2;1;;;;;;;;3;5;1;2;;;;;;2;2;2;2;2;;;;;;8;2
518468;237;1;1;1;76.2555516887606;1;3;1;;1;;;;;;;3;6;4;2;;;;;;2;;2;2;2;;;;;;3;2
518861;237;1;1;1;4.42683095045765;1;5;1;;;;;;1;;;9;2;1;1;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
518962;237;1;1;1;2366.7612395632;1;7;1;;;;;;1;;;3;1;3;2;;;;;;2;2;2;2;2;;;;;;4;2
519000;237;1;1;1;1388.38416719094;1;5;1;;;;1;;;;;3;2;1;2;;;;;;2;;2;2;2;;;;;;6;2
519002;237;1;1;1;2362.21140097659;1;7;1;;;;1;;;;;2;1;4;2;;;;;;2;;2;2;2;;;;;;6;2
519278;237;1;1;1;289.697451441111;1;5;1;;;;;;1;;;3;2;2;1;2;2;2;2;2;2;;2;2;2;;;;;;4;2
519446;237;1;1;1;222.480769778604;1;8;1;;;;;1;1;;;3;2;3;2;;;;;;2;2;2;1;1;1;1;2;2;3;;2
520950;237;1;1;1;1396.10418962162;1;12;1;;;;;;1;;;3;1;4;1;2;2;2;2;2;2;2;2;2;2;;;;;;8;2
520964;237;1;1;1;24.7493468535874;1;3;1;;;;;1;;;;3;1;4;2;;;;;;2;2;2;2;2;;;;;;6;2
520965;237;1;1;1;35.6691707178461;1;2;1;;;;;;1;;;3;1;3;1;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
520967;237;1;1;1;24.6885174380764;1;12;1;;;;;;1;;;3;1;4;2;;;;;;2;2;2;2;2;;;;;;6;2
520975;237;1;1;1;2137.54908457742;1;7;1;;;1;;;;;;3;3;1;2;;;;;;2;;2;2;2;;;;;;3;2
521064;237;1;1;1;1753.27956163814;1;5;1;;;;1;;;;;3;3;4;1;2;2;2;2;2;2;;2;2;2;;;;;;7;2
522106;237;1;1;1;371.739313355943;1;12;2;1;;;;;;;;3;4;4;2;;;;;;2;;2;2;2;;;;;;8;2
522686;237;1;1;1;46.0671943187283;1;12;1;;;;;;1;;;3;1;4;2;;;;;;2;2;2;2;2;;;;;;3;2
522803;237;1;1;1;432.250690562652;1;6;1;;;;;;1;;;3;1;3;1;2;2;2;2;2;2;;2;2;2;;;;;;6;2
523053;237;1;1;1;218.880660849446;1;1;1;;;;;;1;;;3;1;2;2;;;;;;2;2;2;2;2;;;;;;5;1
523055;237;1;1;1;464.39503452057;2;7;2;1;;;;;;;;9;4;9;2;;;;;;2;2;2;1;1;1;1;5;1;;;2
523091;237;1;1;1;192.813763890172;1;1;1;;;1;;;;;;2;2;4;2;;;;;;2;2;2;2;2;;;;;;3;2
523986;237;1;1;1;831.38907407142;1;7;1;;;;;;1;;;3;1;1;1;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
524280;237;1;1;1;969.381968472254;1;6;1;;;;;;1;;;3;1;3;1;2;2;2;2;2;2;;2;2;2;;;;;;6;2
