"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P566";"P1260";"P1263";"P1219S1";"P1219S2";"P1219S3";"P1219S4";"P1219S5";"P1219S6";"P1219S7";"P524";"P1252";"P1262";"P1253";"P1256";"P1247";"P1246S1";"P1246S2";"P1246S3";"P1246S5";"P1246S6";"P1232S1";"P1232S2";"P1232S3";"P1232S4";"P1232S5";"P1232S6";"P1232S7";"P1595";"P1238";"P571";"P572";"P573";"P1111";"P1596";"P1597";"P1110";"P1233"
506831;237;2;1;2;74.1657537923191;2;1;1;;1;;;;;;1240000;6;1;3;1;2;;;;;;2;2;2;2;2;1;;2;1;1;2;2;1;1;;;2
506841;237;1;1;1;76.5472874310488;1;2;2;;;;;;;;6500000;3;1;4;1;;;;;;;;1;;1;2;;;1;1;1;2;2;2;1;;;2
506853;237;3;1;3;83.5397286025164;10;3;2;;;;;;;;6e+05;6;1;1;2;2;;;;;;;1;;1;2;;;2;1;1;4;;5;;;;2
506863;237;2;1;2;75.7534428848056;12;1;1;;1;;;;;;2e+05;3;1;3;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
506890;237;1;1;1;74.1657537923191;9;1;1;;1;;;;;;280000;5;1;1;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
506897;237;5;1;5;74.6556405113251;10;1;1;;1;;;1;;;8e+06;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;1;1;4;;2;;;;2
506900;237;2;1;2;68.7678383111455;11;1;1;;1;;;;;;2e+05;5;1;3;1;2;;;;;;2;2;1;2;2;2;;2;2;;;;;;;3;1
506903;237;1;1;1;60.3087310438454;2;1;1;;1;;;;;;150000;5;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;6;2
506943;237;1;1;1;106.82901045266;9;3;2;;;;;;;;2e+06;4;1;4;2;2;;;;;;;2;;1;2;;;1;2;;;;;;;3;2
506963;237;1;1;1;92.4832454392113;6;2;1;;1;;;;;;18000;4;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;1;2
507006;237;3;1;3;76.5667795093958;8;2;2;;;;;;;;3e+06;4;1;3;1;2;;;;;;;2;;1;2;;;1;1;1;1;1;5;1;;;1
507051;237;1;1;1;89.5978661516884;10;3;2;;;;;;;;2e+06;4;1;2;1;2;;;;;;;2;;2;2;;;2;2;;;;;;;3;2
507053;237;1;1;1;102.629471036324;3;1;1;;1;;;;;;4e+05;3;1;2;1;;;;;;;2;2;2;2;2;1;;1;2;;;;;;;3;2
507088;237;2;1;2;1317.02630243856;7;1;1;;;;1;;;1;8e+05;5;1;9;3;2;;;;;;2;2;2;2;2;2;;2;1;1;1;1;1;2;4;;2
507089;237;2;1;2;106.82901045266;11;3;2;;;;;;;;287000;4;1;2;3;9;;;;;;;2;;1;2;;;2;2;;;;;;;3;2
507093;237;1;1;1;106.285351144332;11;1;1;;;;;;1;1;2e+05;2;1;4;1;1;2;1;2;2;2;2;2;2;1;2;1;;2;2;;;;;;;3;2
507112;237;1;1;1;82.1008054743409;2;3;2;;;;;;;;140000;4;1;3;2;2;;;;;;;2;;2;2;;;2;2;;;;;;;5;2
507113;237;1;1;1;95.9944019934895;11;1;1;;1;;;;;;30000;3;1;2;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
507146;237;2;1;2;71.7177924821408;11;1;1;;1;;1;;;;150000;5;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
507150;237;1;1;1;91.9970548911127;12;2;2;;;;;;;;1500000;5;1;2;1;2;;;;;;;2;;1;2;;;2;1;1;2;2;5;1;;;1
507167;237;1;1;1;106.894932840476;11;1;1;;;1;;;;;130000;3;1;2;1;;;;;;;2;2;2;1;2;1;;2;2;;;;;;;6;2
507220;237;1;1;1;250.981397369468;5;1;1;;1;;;;;;6e+05;4;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;6;2
507223;237;1;1;1;444.961539557209;2;1;1;;;;;;;1;450000;4;1;2;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
507229;237;2;1;2;292.651238504052;6;3;2;;;;;;;;5e+05;2;1;4;1;1;2;1;2;2;2;;2;;2;1;;;2;2;;;;;;;7;2
507235;237;1;1;1;382.698173698877;12;3;2;;;;;;;;350000;5;1;3;2;2;;;;;;;1;;2;2;;;2;2;;;;;;;3;2
507242;237;2;1;2;636.895340647781;3;1;1;;1;;;;;;120000;4;1;2;3;2;;;;;;2;2;2;2;2;1;2;2;2;;;;;;;5;2
507288;237;2;1;2;87.329958584286;6;1;1;;;;;1;;;60000;4;1;3;1;2;;;;;;2;2;2;1;2;2;;1;2;;;;;;;3;2
507295;237;1;1;1;88.3099054949826;10;1;1;;1;;;;;;2e+06;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;1;1;1;1;4;1;;;2
507299;237;1;1;1;42.9891285334956;8;3;2;;;;;;;;2e+05;5;1;3;3;2;;;;;;;2;;2;2;;;1;1;1;3;1;5;2;4;;2
507301;237;1;1;1;70.354813059915;8;1;1;;1;;;;;;2e+05;4;1;2;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
507309;237;3;1;3;39.5585399958607;11;3;2;;;;;;;;580000;4;1;2;3;2;;;;;;;2;;2;2;;;2;1;1;3;1;5;1;;;2
507380;237;2;1;2;61.2599253112343;9;1;1;;1;;;;;;98;3;1;1;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;7;2
507401;237;1;1;1;57.7960659628443;6;1;1;;1;;;;;;80000;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;6;2
507446;237;2;1;2;67.3740400452315;7;1;1;;;;;1;;;45000;4;1;2;2;2;;;;;;2;2;1;2;2;1;;2;2;;;;;;;3;2
507453;237;1;1;1;53.3875120004329;4;2;1;;1;;;;;;40000;4;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;1;2
507501;237;1;1;1;73.3370449065971;7;2;1;1;;;;;;;150000;4;1;1;1;2;;;;;;2;2;2;1;2;2;;2;2;;;;;;;5;2
507506;237;1;1;1;59.143345518493;11;2;1;;1;;;;;;15000;4;1;2;1;2;;;;;;2;2;2;1;2;2;;2;2;;;;;;;4;2
507526;237;2;1;2;76.0147686863469;7;1;1;;1;;;;;;160000;3;1;3;1;;;;;;;2;2;2;2;2;2;;2;1;1;4;;5;;;;2
507551;237;3;1;3;67.7005409072748;2;2;2;;;;;;;;99;4;1;4;1;2;;;;;;;2;;2;2;;;2;1;1;1;1;5;1;;;1
507585;237;1;1;1;61.8642190035512;12;1;1;1;;;;;;;2e+06;4;1;4;3;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;1;2
507599;237;1;1;1;121.99217597546;11;2;1;;;;;;;1;270000;5;1;3;4;2;;;;;;2;2;2;2;2;2;;1;1;1;1;1;5;1;;;2
507601;237;2;1;2;44.0469005752261;10;1;1;;;;;;1;;2500000;3;1;3;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;1;2
507619;237;1;1;1;240.83704507639;9;1;1;;;;;;;1;6e+05;4;1;2;1;2;;;;;;2;2;2;2;2;1;;1;2;;;;;;;3;2
507648;237;1;1;1;60.9960879877301;3;2;2;;;;;;;;1e+07;4;1;1;2;2;;;;;;;2;;1;2;;;1;1;1;4;;5;;;;1
507651;237;4;1;4;57.8976030150941;9;3;2;;;;;;;;150000;4;1;4;7;2;;;;;;;2;;2;2;;;2;2;;;;;;;3;2
507738;237;1;1;1;315.561857988153;10;1;1;;1;;;;;;780000;3;1;3;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
507738;237;2;1;2;315.561857988153;2;1;1;1;1;;;;;;8e+05;3;1;4;3;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
507756;237;1;1;1;314.008425757185;11;2;1;;;1;;;;;40000;4;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
507771;237;4;1;4;288.038341960906;9;3;2;;;;;;;;480000;4;2;3;1;2;;;;;;;2;;2;2;;;2;2;;;;;;;5;2
507864;237;2;1;2;38.3807123457484;8;3;2;;;;;;;;350000;5;1;3;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;3;2
508371;237;1;1;1;1265.01070202423;10;2;1;;;;;;;1;260000;3;1;9;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
508374;237;1;1;1;2061.75976642057;11;1;1;;;;;1;;;60000;5;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
508379;237;1;1;1;1746.39080367079;9;1;1;;1;;;;;;285000;4;2;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
508414;237;1;1;1;732.270289725397;8;2;1;;1;;;;;;15000;4;1;4;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
508495;237;1;1;1;1200.30312125319;10;2;1;;;;;1;;;120000;5;2;2;3;2;;;;;;2;2;2;1;2;1;;2;2;;;;;;;6;2
508522;237;1;1;1;959.951909098321;6;3;2;;;;;;;;250000;3;1;3;1;;;;;;;;2;;2;2;;;2;2;;;;;;;5;2
508527;237;2;1;2;996.733315652257;8;3;2;;;;;;;;7e+05;2;1;3;1;1;2;2;2;1;2;;2;;2;2;;;2;2;;;;;;;3;2
508556;237;2;1;2;1057.76220240125;8;3;1;;;1;;;;;22500;3;1;3;3;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
508578;237;2;1;2;1111.46346951911;12;2;2;;;;;;;;5e+06;4;1;9;1;2;;;;;;;2;;2;2;;;2;1;1;3;1;5;2;1;;1
508599;237;1;1;1;1819.60241954428;3;1;1;;;1;;;;;120000;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
508700;237;1;1;1;55.3144699265692;10;1;1;;1;;;1;;;99;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;1;1;4;;4;;;;2
508743;237;3;1;3;60.7871430682539;2;3;2;;;;;;;;99;2;1;2;1;1;2;1;2;2;2;;2;;2;2;;;2;1;1;4;;1;;;;2
508773;237;1;1;1;58.1646804420766;5;3;2;;;;;;;;2e+05;2;1;3;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;3;2
508780;237;4;1;4;64.9647076474626;5;3;2;;;;;;;;2e+05;4;1;2;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;9;2
508794;237;1;1;1;69.1613960401214;8;2;1;;;;1;;;;120000;5;1;3;2;2;;;;;;2;2;2;1;2;1;;1;2;;;;;;;3;2
508802;237;1;1;1;75.3531560675382;2;2;1;;;;;;;1;15000;4;1;2;3;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;9;2
508815;237;2;1;2;1084.14405170204;10;1;1;;1;;;;;;30000;2;1;4;2;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
508861;237;1;1;1;73.3548891632261;8;2;1;;1;;;;;;1e+05;2;1;4;2;2;;;;;;2;2;1;2;1;2;;1;1;1;4;;5;;;;2
508862;237;1;1;1;89.1613211695002;12;1;1;1;1;;;;;;6e+05;4;1;2;2;2;;;;;;2;2;2;2;2;2;;1;2;;;;;;;1;2
508889;237;1;1;1;92.0464413358518;10;1;1;;1;;;;;;2e+05;3;1;2;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
508906;237;2;1;2;1296.33372527897;8;2;2;;;;;;;;6e+06;4;1;3;1;2;;;;;;;2;;2;2;;;2;1;1;1;1;5;1;;;1
508910;237;1;1;1;67.4724895709183;10;2;1;;1;;;;;;1e+05;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
508982;237;3;1;3;112.636619370249;12;1;1;;;;;1;;;3e+05;4;1;3;2;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
508985;237;1;1;1;68.6431268694483;6;1;1;;1;;;;;;50000;4;1;2;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
509006;237;1;1;1;86.2880305402265;2;2;2;;;;;;;;2500000;2;1;4;1;2;;;;;;;2;;2;2;;;1;1;1;2;2;5;1;;;2
509067;237;1;1;1;106.894932840476;3;1;1;;1;;;;;;120000;3;1;2;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
509092;237;1;1;1;75.356432650549;12;1;1;;;;1;;;;280000;3;1;4;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;6;2
509095;237;1;1;1;81.0965240441265;9;1;1;;1;;;1;;;3e+05;4;1;2;1;2;;;;;;2;2;2;1;2;1;;2;2;;;;;;;3;2
509099;237;1;1;1;81.0965240441265;9;2;2;;;;;;;;6e+06;2;1;4;1;1;1;2;2;2;2;;1;;2;2;;;1;1;1;2;2;5;2;3;;2
509144;237;1;1;1;76.9092989782409;2;3;2;;;;;;;;130000;4;1;3;1;2;;;;;;;2;;2;2;;;2;2;;;;;;;5;2
509152;237;1;1;1;81.0965240441265;9;2;2;;;;;;;;99;2;1;2;1;2;;;;;;;2;;2;2;;;1;1;1;3;1;2;1;;;1
509163;237;1;1;1;98.7414277149047;10;1;1;;1;;;;;;190000;4;1;2;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;6;2
509213;237;1;1;1;81.6730417784855;3;2;2;;;;;;;;1300000;2;1;4;1;2;;;;;;;2;;1;2;;;2;1;1;1;1;5;1;;;2
509249;237;2;1;2;226.871421995039;8;3;2;;;;;;;;98;5;1;4;1;2;;;;;;;1;;1;2;;;2;2;;;;;;;5;2
509255;237;1;1;1;432.248600183634;2;1;1;1;1;;;1;;;9e+05;3;1;1;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
509259;237;2;1;2;207.176842466183;12;3;2;;;;;;;;160000;4;1;3;7;2;;;;;;;1;;2;2;;;2;2;;;;;;;4;2
509266;237;2;1;2;287.805401378201;6;3;2;;;;;;;;1e+05;2;1;1;1;1;2;1;2;2;2;;1;;2;2;;;2;2;;;;;;;5;1
509272;237;1;1;1;315.908735320731;6;2;1;;1;;;;;;20000;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
509315;237;1;1;1;247.614292076285;6;1;1;;1;;;;;;3e+05;5;1;3;1;2;;;;;;2;2;2;1;2;2;;2;2;;;;;;;5;2
509340;237;1;1;1;514.364907720713;3;3;2;;;;;;;;50000;4;1;2;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;4;2
509408;237;2;1;2;35.8049856965308;10;1;1;;;;;;;1;5e+05;4;1;4;4;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;7;2
509413;237;4;1;4;42.4084220761048;6;3;2;;;;;;;;870000;4;1;3;2;2;;;;;;;1;;2;2;;;2;1;1;2;2;5;1;;;2
509482;237;1;1;1;67.3740400452315;5;1;1;;;;;1;;;1e+05;4;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
509531;237;2;1;2;64.1544330198387;2;2;1;;1;;;;;;54000;4;1;2;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
509572;237;1;1;1;66.799822264439;6;1;1;1;;;;;;1;450000;5;1;2;1;2;;;;;;2;2;1;2;2;1;;2;2;;;;;;;4;2
509594;237;2;1;2;66.6602280387487;12;1;1;;1;;;;;;2e+05;3;1;2;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;6;2
509670;237;1;1;1;67.6072958364102;10;2;1;;1;;;;;;25000;4;1;4;4;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
509722;237;1;1;1;57.6648783505532;5;1;1;;1;;;;;;98;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;1;2
509777;237;3;1;3;49.4647037703225;12;1;1;;;;;1;;;98;3;1;4;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;1;2
509820;237;1;1;1;54.1731570099457;2;1;1;1;;;1;1;;;1e+06;4;1;1;2;2;;;;;;2;2;1;2;2;2;;2;2;;;;;;;6;2
509839;237;2;1;2;709.839246202104;11;2;2;;;;;;;;4e+06;4;1;3;1;2;;;;;;;2;;1;2;;;1;1;1;2;2;5;1;;;2
509931;237;2;1;2;338.405733357896;11;2;2;;;;;;;;4e+06;2;1;3;1;1;1;2;2;2;2;;2;;1;2;;;2;1;1;1;1;5;1;;;2
509993;237;1;1;1;254.805814526632;7;1;1;;1;;;;;;98;5;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
510071;237;1;1;1;32.8915379240609;4;2;2;;;;;;;;9e+06;2;1;2;3;2;;;;;;;2;;1;2;;;1;1;1;2;2;5;1;;;2
510088;237;1;1;1;46.0585205280595;3;1;1;;1;;;;;;2e+05;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
510229;237;1;1;1;142.44892144932;7;1;1;;1;;;;;;99;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;6;2
510248;237;3;1;3;127.585738589159;11;2;2;;;;;;;;1.2e+07;2;1;3;2;1;1;2;2;2;2;;2;;2;2;;;2;2;;;;;;;2;2
510258;237;1;1;1;110.341920625137;4;2;2;;;;;;;;5e+06;2;1;2;1;2;;;;;;;2;;2;2;;;2;2;;;;;;;3;1
510314;237;1;1;1;132.725715376387;12;1;1;;;1;;1;;;2e+06;5;1;3;1;2;;;;;;2;2;2;1;2;1;;2;2;;;;;;;3;2
510318;237;1;1;1;124.968530665117;6;1;1;;1;;;;;;280000;3;2;2;1;;;;;;;2;2;1;2;2;1;;2;2;;;;;;;3;2
510368;237;3;1;3;107.73931959194;8;2;1;;1;;;;;;30000;4;2;4;3;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
510599;237;1;1;1;748.43828846424;10;1;1;1;1;;1;;;1;2e+06;5;1;1;2;2;;;;;;2;2;2;2;2;1;;1;1;1;1;1;2;1;;;1
510606;237;1;1;1;500.631546996935;6;1;1;;1;;;;;;2e+05;4;1;1;1;2;;;;;;2;2;2;1;2;1;;2;2;;;;;;;3;2
510612;237;1;1;1;493.420525043708;2;1;1;;;;;1;1;;2e+06;5;1;1;2;2;;;;;;2;2;1;2;2;2;;2;2;;;;;;;3;2
510615;237;3;1;3;805.086018030313;5;3;2;;;;;;;;1200000;2;1;4;1;1;1;2;2;2;2;;2;;1;2;;;1;1;1;2;2;4;1;;;2
510645;237;1;1;1;1096.89235345409;8;1;1;;;;;1;;;98;4;1;1;2;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
510686;237;1;1;1;1778.51837663066;9;3;2;;;;;;;;1e+06;4;1;2;2;2;;;;;;;2;;2;1;;;2;1;1;4;;4;;;;2
510721;237;2;1;2;1071.15264642132;8;3;2;;;;;;;;150000;2;1;3;1;2;;;;;;;2;;2;2;;;2;2;;;;;;;7;2
510733;237;1;1;1;1027.54553794143;10;3;2;;;;;;;;4e+05;3;1;3;1;;;;;;;;2;;2;2;;;2;2;;;;;;;5;2
510734;237;1;1;1;1057.76220240125;3;1;1;;1;;;;;;4e+05;4;1;4;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;1;2
510734;237;2;1;2;1057.76220240125;7;1;1;;;1;;;;;3e+05;4;1;4;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
510771;237;1;1;1;941.683969819965;12;1;1;1;;;;;;;50000;3;1;2;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;6;2
510786;237;1;1;1;949.234483466893;1;1;1;;1;;;;;;3e+05;2;1;4;1;2;;;;;;2;2;1;2;2;2;;2;2;;;;;;;4;2
510873;237;1;1;1;74.1657537923191;4;1;1;;1;;;;;;650000;5;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
510880;237;3;1;3;56.2206879625189;11;2;1;;1;;;;;;12000;4;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
510992;237;2;1;2;93.7976646891957;8;1;1;;1;;;;1;;5e+05;5;1;4;1;2;;;;;;2;2;2;2;2;2;;1;1;1;3;2;5;2;1;;2
511057;237;3;1;3;95.7580204513566;6;1;1;;;;;1;;;30000;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
511057;237;4;1;4;95.7580204513566;12;2;1;;;;;1;;;20000;4;1;2;3;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
511085;237;2;1;2;106.174188351324;7;2;1;;1;;1;;;;150000;4;1;4;2;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
511120;237;3;1;3;100.758144793734;7;2;2;;;;;;;;1800000;3;1;1;1;;;;;;;;2;;2;2;;;2;2;;;;;;;3;2
511133;237;2;1;2;268.252602435261;6;1;1;;1;;;;;;60000;5;1;2;1;2;;;;;;2;2;2;1;2;1;;2;2;;;;;;;5;2
511133;237;3;1;3;268.252602435261;10;2;1;;1;;;;;1;2e+05;4;1;3;3;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
511133;237;4;1;4;268.252602435261;10;2;1;;;;;;;1;30000;4;1;3;1;2;;;;;;2;2;2;1;2;1;;2;2;;;;;;;5;2
511139;237;1;1;1;349.812656880533;1;2;1;;1;;;;;;130000;4;1;2;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;1;2
511145;237;1;1;1;229.079119917826;11;3;2;;;;;;;;150000;4;1;3;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;3;2
511148;237;3;1;3;289.265065974956;12;1;1;;1;;;;;;50000;4;1;1;3;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
511150;237;1;1;1;270.748961052409;11;3;2;;;;;;;;3e+05;2;1;1;2;2;;;;;;;2;;2;2;;;2;2;;;;;;;3;2
511157;237;1;1;1;269.864289322256;7;1;1;;1;1;;;;1;3e+06;5;1;4;2;2;;;;;;2;2;2;2;2;1;;1;1;1;1;1;5;1;;;2
511168;237;1;1;1;216.279713287716;11;1;1;;1;;;;;;1e+05;4;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
511172;237;1;1;1;514.364907720713;1;3;2;;;;;;;;219000;4;1;4;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;1;2
511180;237;1;1;1;250.981397369468;5;1;1;;;;;;;1;2e+05;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
511181;237;1;1;1;330.050235379386;6;1;2;;;;;;;;3.2e+07;3;1;1;1;;;;;;;;2;;2;2;;;1;1;1;2;2;5;1;;;2
511249;237;5;1;5;45.3369514969001;10;2;2;;;;;;;;3e+06;3;1;4;2;;;;;;;;2;;2;2;;;1;1;1;2;2;5;1;;;1
511264;237;1;1;1;41.4648559235279;2;1;1;;1;;;;;;150000;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
511265;237;5;1;5;47.4914308549491;1;3;2;;;;;;;;3e+05;1;1;2;7;2;;;;;;;2;;2;2;;;2;2;;;;;;;3;1
511270;237;1;1;1;43.664979292143;7;1;1;;1;;;;;;2e+05;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
511282;237;3;1;3;40.1438525800024;11;1;1;;1;;;;;;5e+05;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;6;2
511291;237;1;1;1;39.5162734134292;9;3;2;;;;;;;;1500000;5;2;9;4;2;;;;;;;2;;2;2;;;2;2;;;;;;;3;2
511308;237;1;1;1;73.8894357270161;6;1;1;;1;;;;;;1e+05;4;1;2;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
511311;237;1;1;1;41.7163967820443;9;1;1;;1;;;;;;3e+05;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;6;2
511311;237;2;1;2;41.7163967820443;3;1;1;;1;;;;;;2e+05;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;6;2
511313;237;2;1;2;43.1750058367947;10;1;1;;1;;;;;;530000;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;2;2
511469;237;1;1;1;60.0703393744186;5;1;1;1;;;;;;;1200000;5;1;2;2;2;;;;;;2;2;2;2;2;1;;2;1;1;3;1;5;2;4;;2
511493;237;1;1;1;56.8484275597446;2;1;1;;1;;;;;1;5e+05;4;1;2;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
511516;237;4;1;4;59.6445779161856;11;3;2;;;;;;;;3e+05;2;1;3;1;1;2;1;2;2;2;;1;;2;2;;;1;1;1;1;1;2;1;;;2
511547;237;1;1;1;60.735094072824;6;1;1;;;;;;;1;5e+05;3;1;3;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
511604;237;2;1;2;698.923664467798;5;2;2;;;;;;;;1200000;4;1;2;1;2;;;;;;;2;;2;2;;;2;1;1;1;1;5;2;1;;1
511606;237;2;1;2;67.099423779336;3;1;1;;1;;;;;;98;4;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
511676;237;1;1;1;57.1429342958414;8;1;1;;1;;;;;;2e+05;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
511753;237;1;1;1;54.1731570099457;9;2;2;;;;;;;;2500000;6;1;9;2;2;;;;;;;2;;2;2;;;2;1;1;2;1;5;1;;;2
511825;237;2;1;2;436.687198617189;6;3;2;;;;;;;;3e+06;1;1;3;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;6;2
511904;237;1;1;1;314.008425757185;11;1;1;;1;;;1;;;4e+05;5;1;2;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
511955;237;1;1;1;338.405733357896;9;1;1;;1;;;;;;250000;5;1;3;4;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;6;2
511991;237;1;1;1;307.980156568197;2;1;1;1;;;;;;;99;4;1;1;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
512050;237;3;1;3;53.2493576979316;10;3;2;;;;;;;;150000;4;1;4;2;2;;;;;;;1;;2;2;;;2;2;;;;;;;1;2
512094;237;6;1;6;46.8050003740986;2;1;2;;;;;;;;9e+05;4;2;2;1;2;;;;;;;1;;2;2;;;2;1;1;1;1;5;1;;;2
512106;237;1;1;1;34.6985327505451;4;2;1;;;;;1;;;50000;4;1;4;2;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
512107;237;3;1;3;45.8616970108778;2;3;2;;;;;;;;190000;2;1;4;1;1;2;1;2;2;2;;2;;2;2;;;2;1;1;1;1;4;1;;;1
512196;237;1;1;1;164.69699106603;3;2;2;;;;;;;;7e+06;5;1;4;2;2;;;;;;;2;;2;2;;;1;1;1;1;2;5;1;;;2
512328;237;2;1;2;136.546285347746;2;2;2;;;;;;;;1.4e+07;5;1;3;3;2;;;;;;;2;;2;1;;;2;2;;;;;;;3;1
512647;237;1;1;1;911.695769284279;10;3;2;;;;;;;;98;2;1;4;1;1;1;2;2;2;2;;2;;2;2;;;2;2;;;;;;;5;2
512747;237;1;1;1;983.213617740569;12;1;1;;;1;;;;;250000;5;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
512751;237;1;1;1;976.258661923003;4;1;1;;;;;;1;;2e+05;3;1;3;2;;;;;;;2;2;1;2;2;2;;2;1;1;1;1;5;1;;;2
512754;237;3;1;3;1149.73987809495;8;2;1;;;;;;;1;30000;3;1;2;4;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
512755;237;4;1;4;709.925864654739;8;3;2;;;;;;;;98;2;1;9;1;1;2;1;2;1;2;;1;;1;2;;;2;2;;;;;;;2;2
