"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P587";"P1313";"P1311";"P1308";"P588";"P1306";"P1226S1";"P1226S2";"P1225";"P1298";"P1297";"P1601";"P1294";"P589";"P590";"P1112";"P1602";"P1603";"P1227"
517220;237;1;1;1;81.2488805062086;"10";1;9;1;2;1;2;2;6;2;;2;2;;;;;;7
517220;237;2;1;2;81.2488805062086;"10";1;9;1;2;2;;;6;2;;2;2;;;;;;8
517222;237;2;1;2;68.2589061825459;"11";1;7;2;3;2;;;6;2;;2;2;;;;;;6
517273;237;2;1;2;72.7811237319609;"7";1;7;3;1;1;2;2;6;1;1;2;2;;;;;;5
517298;237;1;1;1;2359.24497123113;"11";1;8;3;1;1;2;2;6;2;;1;2;;;;;;2
517468;237;1;1;1;122.927477575109;"10";2;7;3;2;1;2;2;6;2;;2;2;;;;;;6
517635;237;2;1;2;268.179618281176;"10";1;1;3;2;2;;;6;1;4;2;2;;;;;;6
517667;237;3;1;3;249.160087924266;"12";1;9;1;2;2;;;6;2;;2;2;;;;;;6
517714;237;2;1;2;224.302079223807;"12";1;7;1;2;2;;;6;2;;2;2;;;;;;6
517757;237;1;1;1;44.9944337716574;"12";1;7;4;2;2;;;6;1;4;2;2;;;;;;3
517800;237;1;1;1;44.9799776260259;"1";1;7;2;1;2;;;6;2;;2;2;;;;;;6
517855;237;2;1;2;1742.79434420748;"12";1;9;1;6;2;;;6;1;4;2;2;;;;;;6
517856;237;4;1;4;1297.31577732918;"3";1;2;3;6;1;1;2;6;1;5;2;1;2;2;4;2;1;
517859;237;2;1;2;1599.79277160625;"12";1;2;3;1;2;;;1;1;1;2;1;1;1;4;1;;
517941;237;2;1;2;629.780758241428;"11";1;6;4;2;1;1;2;6;2;;2;2;;;;;;3
517950;237;3;1;3;722.736048249833;"2";1;7;4;1;1;2;2;6;1;1;2;2;;;;;;5
517952;237;1;1;1;595.636033139001;"7";1;7;4;1;2;;;6;2;;2;2;;;;;;4
518004;237;2;1;2;67.1210972789062;"3";1;2;2;8;1;1;1;2;2;;2;1;1;3;4;1;;
518010;237;3;1;3;65.1680988817992;"9";1;7;4;4;1;1;2;6;1;3;2;2;;;;;;6
518019;237;1;1;1;70.1352495287694;"12";1;2;4;1;2;;;2;1;3;2;1;3;3;3;1;;
518108;237;3;1;3;58.98565189966;"8";1;2;2;7;1;1;2;1;1;1;1;2;;;;;;5
518267;237;1;1;1;65.8406339876964;"12";1;2;4;5;1;2;2;1;1;5;2;2;;;;;;2
518283;237;4;1;4;59.4379960211938;"6";1;1;4;2;1;2;2;6;1;4;2;2;;;;;;6
518345;237;1;1;1;70.4638587653343;"12";1;2;4;1;2;;;6;1;1;2;2;;;;;;6
518349;237;1;1;1;65.1154396325777;"7";1;2;4;1;1;1;1;2;1;5;1;1;3;1;5;1;;
518394;237;3;1;3;63.7211647352969;"12";2;2;3;1;1;2;1;1;1;5;1;1;3;1;3;1;;
518405;237;2;1;2;65.0196162855457;"12";1;7;4;6;2;;;6;1;4;2;2;;;;;;4
518479;237;1;1;1;315.561857988153;"1";1;2;3;6;2;;;6;1;5;1;2;;;;;;8
518479;237;2;1;2;315.561857988153;"1";1;2;3;6;1;2;2;6;1;1;2;2;;;;;;6
518629;237;1;1;1;286.311391109657;"10";1;2;3;1;2;;;2;1;3;1;1;2;2;4;2;3;
518701;237;4;1;4;716.39941525278;"8";1;1;4;1;2;;;6;1;2;2;2;;;;;;6
519438;237;4;1;4;279.03500211608;"11";1;4;4;1;2;;;1;1;5;2;2;;;;;;3
519551;237;6;1;6;52.1262141808285;"12";1;7;4;3;1;1;2;6;2;;2;2;;;;;;1
519553;237;6;1;6;44.6521599110985;"9";1;7;4;1;1;1;2;6;1;4;2;2;;;;;;4
519679;237;2;1;2;915.340189801099;"4";1;2;4;1;1;1;2;6;1;5;2;2;;;;;;1
519815;237;1;1;1;66.799822264439;"1";2;9;1;1;2;;;6;2;;2;2;;;;;;1
519908;237;1;1;1;62.6767071771746;"4";1;4;3;1;2;;;2;1;4;2;2;;;;;;6
520143;237;3;1;3;355.864303539158;"8";1;2;3;1;2;;;1;1;1;2;2;;;;;;5
520145;237;1;1;1;323.56417411261;"6";1;7;3;3;2;;;6;2;;2;2;;;;;;3
520205;237;1;1;1;328.140006639441;"10";1;7;4;8;2;;;6;2;;2;2;;;;;;6
520227;237;3;1;3;338.405733357896;"4";1;7;4;1;2;;;3;1;2;2;2;;;;;;6
520239;237;3;1;3;282.976281611801;"11";1;7;4;6;2;;;6;2;;2;2;;;;;;6
520536;237;1;1;1;120.873470611157;"3";1;2;4;1;2;;;2;1;3;2;1;3;3;2;1;;
520975;237;1;1;1;2137.54908457742;"1";1;7;1;1;1;2;1;6;1;4;2;1;3;3;3;2;2;
520976;237;4;1;4;2649.09511583198;"12";2;7;2;4;2;;;6;1;4;2;2;;;;;;6
520992;237;1;1;1;2310.4527491097;"11";1;9;4;6;2;;;6;1;2;2;2;;;;;;3
521031;237;4;1;4;4025.84088895131;"12";1;6;4;1;2;;;6;1;4;2;2;;;;;;8
521121;237;1;1;1;1747.04483860161;"9";1;6;2;1;2;;;6;2;;2;2;;;;;;6
521128;237;3;1;3;1116.40928578509;"6";1;10;3;5;2;;;7;1;4;2;2;;;;;;6
521133;237;1;1;1;2055.09107588286;"10";1;9;4;2;2;;;6;2;;2;2;;;;;;1
521221;237;5;1;5;1252.30286338244;"12";2;2;4;1;2;;;6;1;2;2;2;;;;;;3
521228;237;2;1;2;1171.30124060938;"8";1;7;3;6;2;;;6;1;2;2;2;;;;;;7
521247;237;2;1;2;4383.35241446605;"8";1;2;2;1;1;2;2;2;1;5;2;2;;;;;;5
521259;237;1;1;1;5413.80890466234;"12";2;7;4;3;1;2;2;3;2;;2;2;;;;;;7
521293;237;1;1;1;70.6063773037336;"3";1;4;4;1;2;;;6;1;4;1;1;1;1;3;1;;
521293;237;2;1;2;70.6063773037336;"3";1;2;3;1;1;2;1;2;1;1;2;1;3;3;1;1;;
521296;237;1;1;1;61.264029560832;"6";1;7;1;2;2;;;6;2;;2;2;;;;;;3
521304;237;1;1;1;75.9162466651119;"1";1;7;3;1;1;2;1;1;1;3;1;1;3;3;3;1;;
521304;237;2;1;2;75.9162466651119;"1";1;2;2;1;2;;;1;1;3;1;1;3;3;3;1;;
521309;237;2;1;2;71.5026744270292;"6";1;9;3;6;2;;;6;2;;2;2;;;;;;6
521372;237;3;1;3;58.4495928597202;"12";1;6;3;5;2;;;1;1;4;2;2;;;;;;3
521372;237;4;1;4;58.4495928597202;"6";1;7;3;1;2;;;6;1;1;2;2;;;;;;6
521385;237;1;1;1;65.5124196497973;"4";1;9;4;2;1;2;2;6;2;;2;2;;;;;;6
521428;237;5;1;5;55.4285729204864;"11";1;2;2;2;2;;;1;1;1;2;2;;;;;;5
521428;237;6;1;6;55.4285729204864;"11";1;2;2;2;2;;;1;1;1;2;2;;;;;;5
521612;237;3;1;3;4850.06795023865;"8";1;6;4;1;2;;;2;1;2;2;1;3;3;3;1;;
521753;237;4;1;4;283.069151665862;"2";1;7;2;2;1;2;2;6;1;4;2;2;;;;;;3
521804;237;4;1;4;274.630424845526;"10";1;2;2;1;2;;;6;1;1;2;2;;;;;;6
522022;237;3;1;3;46.1573702486838;"9";1;2;3;1;2;;;6;2;;2;2;;;;;;3
522029;237;1;1;1;38.3765412464519;"6";1;9;4;2;2;;;6;2;;2;2;;;;;;6
522030;237;1;1;1;41.8493963665184;"8";1;7;4;1;2;;;6;2;;2;2;;;;;;11
522056;237;1;1;1;44.4443579953112;"5";1;7;1;2;2;;;6;2;;2;2;;;;;;6
522124;237;1;1;1;350.525355849082;"5";1;2;2;6;1;2;2;6;1;5;2;2;;;;;;2
522189;237;3;1;3;60.3606842799378;"2";1;7;3;1;1;2;2;6;1;4;2;2;;;;;;6
522190;237;1;1;1;56.8047158327882;"7";1;2;2;1;2;;;2;1;3;2;1;2;2;3;1;;
522228;237;2;1;2;69.7404613066418;"11";1;7;4;1;2;;;1;1;1;2;2;;;;;;3
522266;237;6;1;6;89.2577530379054;"3";1;1;4;8;1;1;2;6;2;;2;1;1;2;1;1;;
522272;237;1;1;1;80.5108719003228;"8";1;3;3;7;1;2;1;2;1;3;2;1;3;3;2;1;;
522313;237;1;1;1;68.5183577674461;"1";1;5;2;1;2;;;6;1;4;2;2;;;;;;6
522324;237;4;1;4;79.3499995136214;"3";1;7;3;1;2;;;6;1;4;2;2;;;;;;6
522425;237;1;1;1;74.5829624705852;"9";1;2;2;7;2;;;5;1;1;2;2;;;;;;2
522450;237;2;1;2;62.2775082431443;"12";1;4;4;6;2;;;6;1;2;2;2;;;;;;6
522486;237;1;1;1;325.884896934911;"8";1;7;2;1;2;;;6;2;;2;2;;;;;;6
522527;237;4;1;4;320.797436957539;"6";1;7;4;1;2;;;6;1;3;1;2;;;;;;6
522677;237;1;1;1;47.668264733204;"9";1;7;4;1;1;1;2;6;1;2;2;2;;;;;;6
522731;237;4;1;4;35.6684377331126;"4";1;3;3;1;2;;;6;1;3;2;2;;;;;;6
522981;237;2;1;2;78.9060786303348;"6";1;2;2;2;1;1;2;6;1;3;2;1;1;3;4;1;;
523165;237;3;1;3;1145.49588697607;"4";1;7;4;3;1;1;2;6;2;;1;2;;;;;;3
523253;237;2;1;2;1020.38523801795;"11";1;1;1;1;2;;;6;1;4;2;2;;;;;;5
523346;237;2;1;2;63.4401257986223;"10";1;1;2;1;1;2;2;6;1;2;2;2;;;;;;6
523351;237;1;1;1;69.9297984701107;"6";1;1;3;2;2;;;6;2;;2;2;;;;;;1
523367;237;3;1;3;74.5316166047538;"12";1;9;1;2;1;2;2;6;2;;2;2;;;;;;7
523465;237;1;1;1;75.7534428848056;"10";1;2;3;2;2;;;3;1;3;2;2;;;;;;1
523515;237;1;1;1;86.7127459853367;"12";1;4;3;8;2;;;7;1;3;2;2;;;;;;11
523713;237;4;1;4;268.252602435261;"2";1;1;2;5;2;;;6;1;2;2;2;;;;;;8
523729;237;3;1;3;218.487411210503;"10";1;1;4;1;2;;;2;1;4;1;1;2;2;1;1;;
523792;237;2;1;2;235.280176408714;"9";1;6;4;8;2;;;6;2;;1;1;2;1;3;2;5;
523841;237;1;1;1;45.6864590657179;"11";1;2;4;2;2;;;1;1;4;2;1;3;3;3;1;;
523841;237;4;1;4;45.6864590657179;"11";1;4;1;1;1;2;1;1;1;4;2;1;3;3;3;1;;
523859;237;1;1;1;41.8493963665184;"12";1;7;1;2;2;;;6;1;4;2;2;;;;;;6
523981;237;1;1;1;941.083625304743;"6";1;2;4;1;1;2;2;6;1;1;2;2;;;;;;5
523984;237;2;1;2;836.149886985092;"11";1;7;3;2;2;;;6;1;3;2;2;;;;;;6
524048;237;1;1;1;61.2599253112343;"12";1;7;2;2;2;;;6;2;;2;2;;;;;;3
524200;237;2;1;2;67.3974393409893;"12";1;2;2;1;2;;;2;1;3;2;1;3;3;3;2;3;
524204;237;1;1;1;66.9266092131152;"6";1;6;3;1;1;1;1;2;1;3;1;1;3;3;3;1;;
524237;237;1;1;1;68.0068760418858;"11";1;9;4;2;1;1;2;6;1;4;2;2;;;;;;2
524410;237;7;1;7;59.504208696181;"12";1;2;4;1;2;;;6;1;1;2;2;;;;;;5
524427;237;1;1;1;318.827859583089;"6";1;2;3;1;1;1;2;1;1;2;1;1;2;2;3;1;;
524458;237;2;1;2;326.861088597566;"1";1;1;3;1;1;1;2;6;1;2;2;2;;;;;;4
525063;237;9;2;1;117.347529797807;"10";1;2;4;1;1;1;1;2;1;4;2;1;3;3;2;2;3;
525156;237;1;1;1;107.129487042362;"11";1;7;3;2;2;;;6;1;3;2;2;;;;;;6
525156;237;3;1;3;107.129487042362;"11";1;7;4;1;2;;;6;1;3;2;2;;;;;;6
525423;237;3;1;3;4203.78450421731;"8";1;2;4;2;1;1;2;6;1;1;2;2;;;;;;6
525423;237;4;1;4;4203.78450421731;"4";1;2;4;2;2;;;2;1;4;1;1;1;1;3;2;1;
525488;237;3;1;3;63.9284587356849;"8";1;7;4;2;2;;;2;2;;1;1;3;3;2;1;;
525512;237;4;1;4;70.8309385181232;"9";2;4;1;2;1;1;1;1;1;1;2;1;1;3;2;2;1;
525518;237;1;1;1;75.9162466651119;"6";1;1;4;1;1;2;1;2;1;4;2;1;3;3;3;1;;
525518;237;2;1;2;75.9162466651119;"6";1;1;4;2;1;2;2;4;1;4;2;2;;;;;;4
525530;237;2;1;2;68.6868879163544;"11";1;2;3;1;2;;;6;1;1;2;2;;;;;;6
525611;237;2;1;2;302.764629227202;"6";1;7;2;1;2;;;1;1;3;1;1;1;1;4;1;;
525750;237;1;1;1;94.4415356657976;"6";1;1;3;1;1;1;2;6;1;1;1;1;3;3;3;2;1;
525877;237;4;2;1;50.9699973575117;"10";1;2;4;1;1;2;2;6;1;5;2;2;;;;;;5
525903;237;2;1;2;298.040607418871;"9";1;2;1;6;2;;;6;1;1;1;1;3;3;4;1;;
525921;237;2;1;2;248.773699446682;"12";1;7;2;2;1;2;2;6;1;3;2;2;;;;;;5
525922;237;1;1;1;224.688467701391;"8";1;7;4;1;2;;;6;1;4;2;2;;;;;;4
525928;237;2;1;2;276.950017543297;"12";1;7;1;2;2;;;6;1;4;2;2;;;;;;8
525930;237;6;1;6;635.431928739802;"7";1;9;4;1;2;;;6;2;;2;2;;;;;;6
525945;237;1;1;1;282.252321907999;"3";1;7;3;2;2;;;6;1;4;1;1;1;1;2;2;1;
526028;237;2;1;2;226.509777146593;"5";1;2;4;1;1;2;2;6;1;1;2;2;;;;;;5
526122;237;7;1;7;44.3919864614315;"1";1;2;1;5;2;;;2;1;4;1;1;1;1;4;2;5;
526129;237;5;1;5;47.7991780262807;"2";1;1;2;1;2;;;6;1;4;2;2;;;;;;6
526129;237;6;1;6;47.7991780262807;"12";1;2;2;1;2;;;6;1;5;2;2;;;;;;5
526218;237;4;1;4;65.6278530808513;"10";1;9;4;6;2;;;6;2;;2;2;;;;;;3
526255;237;2;1;2;57.5122318386473;"10";1;6;4;1;2;;;3;1;4;2;1;2;3;1;1;;
526260;237;1;1;1;63.7135895303972;"12";1;3;4;1;2;;;6;2;;2;2;;;;;;6
526266;237;5;1;5;79.1962948074149;"10";1;7;3;5;1;1;1;2;1;4;1;1;3;3;2;2;3;
526308;237;2;1;2;67.590832992014;"2";1;7;1;2;1;2;2;6;1;2;2;2;;;;;;5
526471;237;3;1;3;54.0536467023765;"6";1;1;2;1;2;;;6;1;2;2;2;;;;;;6
526487;237;1;1;1;65.1484170418024;"7";1;2;3;2;2;;;2;1;3;1;1;1;1;4;2;2;
526619;237;1;1;1;320.822836585806;"12";1;7;3;1;2;;;6;2;;2;2;;;;;;6
526635;237;4;1;4;337.174169559487;"2";1;1;9;1;2;;;2;1;5;2;1;4;4;3;2;4;
526734;237;1;1;1;311.753316052655;"8";1;3;4;6;2;;;7;1;4;2;2;;;;;;6
527266;237;2;1;2;1149.73987809495;"7";1;7;9;1;2;;;6;2;;2;2;;;;;;2
527335;237;3;1;3;60.3087310438454;"11";1;3;4;1;2;;;6;1;2;2;2;;;;;;8
527518;237;1;1;1;89.5978661516884;"9";1;3;1;1;2;;;6;2;;2;2;;;;;;9
527659;237;2;1;2;330.93490710954;"12";1;9;1;2;1;2;2;6;2;;2;2;;;;;;4
527663;237;1;1;1;222.553753932689;"5";1;7;4;1;1;2;2;2;2;;2;1;1;2;1;1;;
527767;237;1;1;1;47.7786522966842;"6";1;7;3;1;2;;;2;1;3;1;1;3;3;4;2;4;
527805;237;3;1;3;41.7516335898398;"11";1;2;3;2;2;;;6;2;;2;2;;;;;;6
527826;237;1;1;1;41.5025163792085;"10";1;7;3;1;2;;;6;1;4;2;1;1;1;2;2;3;
527826;237;2;1;2;41.5025163792085;"10";1;7;3;1;2;;;6;1;4;2;1;1;1;2;2;3;
527917;237;2;1;2;332.391014083555;"3";1;7;2;3;1;1;2;3;2;;2;1;1;1;2;2;5;
527938;237;1;1;1;406.549588609634;"8";1;6;4;2;2;;;2;2;;1;1;1;1;4;2;3;
528056;237;1;1;1;63.7445196393453;"7";1;2;3;6;2;;;1;1;5;2;2;;;;;;3
528154;237;3;1;3;63.7558733791038;"8";1;7;3;4;1;2;2;2;1;4;2;1;3;3;3;2;1;
528159;237;2;1;2;69.7298867134744;"3";1;3;4;2;1;2;1;5;1;3;1;1;3;3;4;2;1;
528234;237;2;1;2;60.2243879736429;"12";1;2;4;2;2;;;6;1;4;2;2;;;;;;4
528277;237;1;1;1;54.1731570099457;"11";2;1;3;2;1;2;2;2;1;4;1;1;1;1;5;1;;
528326;237;2;1;2;61.7507567069827;"12";1;2;4;1;2;;;4;1;3;2;2;;;;;;6
528464;237;3;1;3;282.976281611801;"10";1;2;4;1;2;;;6;2;;2;2;;;;;;11
528531;237;1;1;1;46.5561331727795;"6";1;7;4;1;2;;;2;1;3;2;1;3;3;4;1;;
528551;237;2;1;2;46.3881591838919;"11";1;4;4;1;1;2;1;1;1;1;2;1;3;3;3;2;3;
528833;237;1;1;1;81.9763935608329;"4";1;2;3;2;1;1;1;2;1;4;1;1;3;3;4;1;;
529071;237;1;1;1;1993.46663130451;"11";1;7;4;1;2;;;6;2;;2;2;;;;;;6
529110;237;1;1;1;1122.43952243974;"11";1;7;4;2;2;;;6;2;;2;2;;;;;;4
529151;237;1;1;1;1178.30624243713;"12";1;1;4;1;2;;;6;1;4;2;2;;;;;;6
529160;237;2;1;2;852.161128166013;"2";1;2;1;1;1;2;1;2;1;5;1;1;3;3;3;2;5;
529181;237;3;1;3;767.48068704326;"12";2;9;4;7;2;;;1;1;4;2;2;;;;;;6
529254;237;1;1;1;1643.45526856121;"12";1;4;4;2;2;;;6;1;5;2;2;;;;;;6
529388;237;1;1;1;88.407237449132;"12";1;7;3;3;2;;;3;2;;2;2;;;;;;6
529400;237;3;1;3;4172.84425503834;"12";1;6;1;2;2;;;6;1;4;2;2;;;;;;6
529462;237;1;1;1;81.0965240441265;"4";1;2;3;1;2;;;6;1;5;2;2;;;;;;7
529511;237;1;1;1;67.0902605417564;"12";1;2;1;2;2;;;6;1;3;2;2;;;;;;1
529633;237;1;1;1;254.97475593757;"8";1;9;1;2;1;1;2;6;2;;2;2;;;;;;3
529635;237;4;1;4;207.176842466183;"12";1;7;1;6;2;;;6;1;2;2;2;;;;;;6
529665;237;3;1;3;298.040607418871;"7";1;1;3;2;2;;;6;2;;2;2;;;;;;6
529697;237;3;1;3;295.209676104536;"10";1;4;4;2;1;1;1;6;1;1;2;2;;;;;;2
529737;237;2;1;2;231.286817840612;"1";1;7;4;1;1;1;1;6;1;3;2;1;3;3;3;2;4;
529742;237;2;1;2;276.065345813144;"1";1;7;4;1;1;1;1;5;1;3;1;1;3;3;3;1;;
529746;237;1;1;1;236.360681294157;"12";1;2;3;2;1;2;2;2;1;1;1;1;2;2;3;2;2;
529881;237;2;1;2;267.104864080077;"12";1;7;4;2;2;;;6;2;;2;2;;;;;;3
529886;237;3;1;3;579.985721795564;"3";1;7;4;1;1;2;1;2;2;;2;1;2;2;2;1;;
529887;237;3;1;3;367.430649744598;"11";1;1;3;1;2;;;6;1;4;2;2;;;;;;6
529893;237;2;1;2;372.556954225594;"8";1;7;4;3;2;;;6;2;;2;2;;;;;;3
530064;237;1;1;1;75.002054563094;"5";1;2;2;2;2;;;2;1;1;1;1;3;3;3;1;;
530148;237;3;1;3;133.85321842623;"12";1;7;4;2;2;;;6;2;;2;2;;;;;;6
530160;237;3;1;3;360.967235891801;"8";1;6;3;1;2;;;5;1;2;2;1;1;2;4;1;;
530181;237;1;1;1;65.1154396325777;"1";1;2;1;1;2;;;2;1;3;1;2;;;;;;2
530881;237;1;1;1;1070.52937942787;"12";1;1;3;2;2;;;6;1;4;2;2;;;;;;6
530884;237;1;1;1;1179.95654255476;"12";2;7;2;1;2;;;1;1;3;2;2;;;;;;6
530998;237;3;1;3;345.217360233556;"10";1;7;4;1;2;;;6;2;;2;2;;;;;;6
531011;237;1;1;1;72.2217613127613;"2";1;2;4;1;2;;;6;2;;2;2;;;;;;6
531071;237;4;1;4;73.5749682782042;"6";1;7;4;3;1;2;2;4;1;4;2;2;;;;;;5
531098;237;1;1;1;66.508413309753;"12";1;2;4;2;2;;;2;1;4;1;1;4;4;4;1;;
531160;237;1;1;1;96.4776644981431;"7";1;7;1;1;1;2;1;2;2;;2;1;3;3;2;1;;
531352;237;5;1;5;234.261616325342;"12";1;7;4;1;2;;;6;1;4;2;2;;;;;;6
531366;237;2;1;2;235.280176408714;"3";1;7;2;1;1;2;2;6;1;4;2;2;;;;;;5
531446;237;1;1;1;38.650261650024;"3";1;4;1;2;2;;;6;1;2;2;2;;;;;;6
531447;237;2;1;2;36.4325648631041;"6";1;7;4;2;1;2;1;2;1;4;1;1;1;1;2;1;;
531489;237;3;1;3;43.269827712759;"10";1;1;1;6;2;;;6;2;;1;1;1;1;2;1;;
531500;237;3;1;3;44.1711272829044;"6";1;10;3;1;2;;;6;2;;2;2;;;;;;6
531503;237;4;1;4;37.5722970300813;"11";1;7;1;1;1;1;1;3;2;;2;2;;;;;;3
531595;237;2;1;2;637.285467607061;"6";1;4;3;2;1;1;2;3;1;1;2;2;;;;;;5
531613;237;1;1;1;73.2352120129035;"12";1;7;4;5;2;;;6;1;2;2;2;;;;;;3
531613;237;2;1;2;73.2352120129035;"12";1;7;4;6;1;1;2;6;1;3;1;1;2;2;2;2;1;
531620;237;3;1;3;71.7756604690823;"4";1;7;1;7;1;1;1;4;1;4;1;1;3;3;4;1;;
531625;237;3;2;1;78.4951230939706;"1";1;9;1;7;1;1;1;6;2;;2;2;;;;;;3
531629;237;2;1;2;53.4457549464553;"3";1;9;1;1;1;2;2;4;2;;2;2;;;;;;3
531649;237;1;1;1;56.8047158327882;"5";1;7;4;1;1;2;2;6;2;;2;2;;;;;;6
531686;237;1;1;1;66.0424654400212;"10";1;2;4;2;2;;;2;1;3;2;1;3;3;3;1;;
531686;237;2;1;2;66.0424654400212;"10";1;2;4;2;1;1;1;2;1;3;2;1;3;3;3;1;;
531686;237;3;1;3;66.0424654400212;"10";1;2;4;1;2;;;2;1;3;2;1;1;1;4;1;;
531694;237;1;1;1;124.250542982739;"1";1;6;2;4;2;;;6;1;4;2;1;1;1;1;2;3;
531879;237;1;1;1;57.6648783505532;"11";1;7;2;1;2;;;1;1;3;2;1;3;1;2;1;;
531896;237;4;1;4;61.2240051708212;"5";1;2;4;1;2;;;2;2;;2;2;;;;;;6
531904;237;7;1;7;72.4292113726019;"11";1;1;3;1;2;;;6;1;4;2;2;;;;;;8
532094;237;1;1;1;1382.79307234378;"12";1;6;4;1;2;;;6;1;4;2;2;;;;;;5
532143;237;1;1;1;41.6070139270163;"6";1;2;4;5;2;;;6;1;4;1;1;1;1;3;1;;
532253;237;2;1;2;45.5953290850389;"9";1;4;2;6;2;;;6;1;5;2;1;3;3;3;1;;
532679;237;1;1;1;1092.22285797993;"8";1;1;9;1;2;;;6;1;4;2;2;;;;;;6
532749;237;2;1;2;972.496192109141;"11";1;7;3;1;2;;;6;2;;2;2;;;;;;6
532826;237;2;1;2;52.6485602242073;"3";1;2;2;1;2;;;2;2;;2;1;1;1;4;1;;
532849;237;2;1;2;64.7223032819282;"7";1;9;2;6;1;1;2;6;1;4;2;2;;;;;;3
532858;237;1;1;1;74.1657537923191;"10";1;1;4;1;2;;;5;1;2;2;1;1;1;3;1;;
532868;237;1;1;1;56.4956794675084;"11";1;1;2;2;2;;;6;2;;2;2;;;;;;6
533149;237;3;1;3;283.953823396015;"10";1;4;1;6;2;;;6;2;;2;2;;;;;;7
533153;237;1;1;1;276.065345813144;"10";1;2;4;1;1;2;2;6;2;;2;2;;;;;;1
533171;237;1;1;1;354.521855602262;"5";1;2;2;1;2;;;3;1;5;2;1;3;3;3;1;;
533416;237;3;1;3;43.1102973890459;"12";1;7;3;2;2;;;6;2;;2;2;;;;;;3
533466;237;4;1;4;61.8406151222726;"7";1;6;4;2;2;;;6;2;;2;2;;;;;;6
533482;237;3;1;3;60.5176936451824;"7";1;7;3;1;2;;;6;1;2;2;2;;;;;;6
533510;237;3;1;3;61.991113706195;"1";1;6;1;2;2;;;6;1;4;2;2;;;;;;3
533619;237;3;1;3;72.4630252956172;"9";1;6;3;1;2;;;3;1;2;2;2;;;;;;6
533643;237;2;1;2;66.1087923529439;"9";1;7;3;1;2;;;6;1;4;2;2;;;;;;6
533675;237;2;1;2;68.2937288176073;"6";1;9;4;3;1;2;2;6;1;4;2;2;;;;;;2
533750;237;3;1;3;62.5386507750568;"7";1;6;3;2;2;;;6;1;4;2;2;;;;;;6
533797;237;2;1;2;66.3447550600833;"9";1;2;3;1;1;1;2;6;2;;2;2;;;;;;3
533856;237;3;1;3;346.947095037766;"3";1;7;4;3;2;;;6;2;;2;2;;;;;;3
533866;237;1;1;1;321.799028248461;"6";1;7;3;6;2;;;6;1;3;2;2;;;;;;6
533924;237;1;1;1;321.357483476712;"4";1;2;3;7;2;;;3;1;3;2;2;;;;;;2
533935;237;4;1;4;5078.40066763585;"3";1;2;4;1;2;;;6;1;1;2;2;;;;;;6
534080;237;1;1;1;1048.02917214213;"3";2;2;3;1;2;;;6;2;;2;2;;;;;;2
534478;237;3;1;3;1043.27428284664;"4";1;7;3;8;2;;;6;1;5;2;2;;;;;;2
534478;237;4;1;4;1043.27428284664;"6";1;1;1;1;2;;;6;2;;2;2;;;;;;1
534499;237;1;1;1;4743.36028686522;"1";1;1;1;1;1;2;1;1;2;;1;1;1;1;1;1;;
534502;237;1;1;1;5289.63360242326;"11";1;9;1;1;2;;;6;2;;2;2;;;;;;6
534502;237;3;1;3;5289.63360242326;"11";1;9;1;1;1;1;2;2;1;4;2;2;;;;;;2
534539;237;2;1;2;4619.18498462615;"6";1;2;4;6;2;;;6;1;5;2;2;;;;;;6
534578;237;1;1;1;64.1592126843544;"6";1;7;3;8;2;;;6;1;2;2;2;;;;;;6
534651;237;3;1;3;80.2528868462529;"10";2;7;4;2;1;1;2;6;1;4;2;1;1;1;2;1;;
534892;237;4;1;4;294.931920580923;"11";1;1;2;2;2;;;2;2;;2;2;;;;;;6
534959;237;2;1;2;292.651238504052;"6";1;7;4;1;2;;;6;1;2;2;2;;;;;;6
535052;237;1;1;1;79.8108399663411;"12";1;7;1;2;2;;;6;1;4;2;2;;;;;;4
535052;237;3;1;3;79.8108399663411;"12";1;7;1;6;1;1;2;6;1;4;2;2;;;;;;3
535132;237;1;1;1;51.1865440364343;"6";1;7;4;1;2;;;6;1;4;2;2;;;;;;6
535135;237;3;1;3;45.4699510813742;"12";1;2;4;2;2;;;6;1;4;2;2;;;;;;3
535223;237;4;1;4;64.0729111127971;"8";1;7;4;2;2;;;6;1;2;2;2;;;;;;1
535254;237;1;1;1;67.3974393409893;"12";1;7;1;1;2;;;6;2;;2;2;;;;;;6
535281;237;2;1;2;70.4531618483072;"12";1;10;1;3;1;1;2;2;2;;2;1;1;1;3;1;;
535326;237;3;1;3;341.065963892491;"12";1;9;1;2;2;;;6;2;;2;2;;;;;;6
535545;237;3;1;3;47.6769385238728;"6";1;4;4;2;2;;;3;1;4;1;1;1;1;2;2;2;
535942;237;1;1;1;317.901238211483;"12";1;2;9;1;1;2;1;2;1;5;2;1;3;3;3;1;;
535948;237;4;1;4;1771.15903938024;"5";1;1;3;1;2;;;2;1;4;2;1;2;2;2;1;;
535948;237;5;1;5;1771.15903938024;"8";1;1;3;1;2;;;5;1;4;2;1;2;2;4;1;;
536117;237;2;1;2;996.733315652257;"7";1;6;2;1;1;2;2;6;2;;2;1;3;3;3;1;;
