"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"DEPMUNI";"CIUDADES28";"CLASE";"P1987";"P1988";"P1988S1";"P1989";"P1990"
501510;235;1;1;1;81.8075571011254;"13001";"1";"Cabecera";2;1;2;2;1
501511;235;1;1;1;81.8075571011254;"13001";"1";"Cabecera";1;1;2;2;1
501512;235;1;1;1;78.9060786303348;"13001";"1";"Cabecera";2;1;2;2;1
501513;235;1;1;1;90.7093401808293;"13001";"1";"Cabecera";1;1;2;1;1
501514;235;1;1;1;97.5388370022415;"13001";"1";"Cabecera";2;1;2;2;1
501515;235;1;1;1;371.481586002401;"00000";"1";"Cabecera";1;2;;2;1
501516;235;1;1;1;317.89072487327;"00000";"1";"Cabecera";1;1;1;3;2
501517;235;1;1;1;249.758267508142;"00000";"1";"Cabecera";1;1;1;1;1
501518;235;1;1;1;328.260004754326;"00000";"1";"Cabecera";1;1;1;3;1
501519;235;1;1;1;244.833960404884;"00000";"1";"Cabecera";1;1;1;1;1
501520;235;1;1;1;150.224595842956;"00000";"1";"Cabecera";1;1;1;1;2
501522;235;1;1;1;449.671983151656;"00000";"1";"Cabecera";1;1;1;1;1
501524;235;1;1;1;363.292204665274;"00000";"1";"Cabecera";1;1;2;1;1
501525;235;1;1;1;331.205532033348;"00000";"1";"Cabecera";1;1;2;1;1
501526;235;1;1;1;290.174567719503;"00000";"1";"Cabecera";1;1;2;2;1
501527;235;1;1;1;486.157547333698;"00000";"1";"Cabecera";1;1;2;2;1
501528;235;1;1;1;294.715368769141;"00000";"1";"Cabecera";2;1;2;2;1
501529;235;1;1;1;218.298874152238;"00000";"1";"Cabecera";1;1;2;2;1
501530;235;1;1;1;257.905658550088;"00000";"1";"Cabecera";1;1;2;1;1
501531;235;1;1;1;257.905658550088;"00000";"1";"Cabecera";1;1;2;1;1
501532;235;1;1;1;397.000731366135;"00000";"1";"Cabecera";1;1;2;1;1
501533;235;1;1;1;257.905658550088;"00000";"1";"Cabecera";1;1;2;2;1
501534;235;1;1;1;397.000731366135;"00000";"1";"Cabecera";1;1;2;1;1
501535;235;1;1;1;150.224595842956;"00000";"1";"Cabecera";1;1;2;2;1
501536;235;1;1;1;662.306416775299;"00000";"1";"Cabecera";2;1;2;2;1
501537;235;1;1;1;781.94618410021;"00000";"1";"Cabecera";1;1;2;3;1
501538;235;1;1;1;928.142498911817;"00000";"1";"Cabecera";2;1;2;1;1
501539;235;1;1;1;405.004164472186;"00000";"1";"Cabecera";2;1;2;2;1
501540;235;1;1;1;504.397056663328;"00000";"1";"Cabecera";2;1;2;1;1
501541;235;1;1;1;657.19712580469;"00000";"1";"Cabecera";1;1;2;1;1
501542;235;1;1;1;858.042588772404;"00000";"1";"Cabecera";1;1;2;1;1
501543;235;1;1;1;655.613312472735;"00000";"1";"Cabecera";1;1;2;1;1
501544;235;1;1;1;690.849274454828;"00000";"1";"Cabecera";1;1;2;1;1
501545;235;1;1;1;641.309417269331;"00000";"1";"Cabecera";2;1;2;2;1
501546;235;1;1;1;429.394195943639;"00000";"1";"Cabecera";1;1;3;2;1
501547;235;1;1;1;452.727026229088;"00000";"1";"Cabecera";2;1;3;1;1
501548;235;1;1;1;586.830977913833;"00000";"1";"Cabecera";2;1;3;2;1
